0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0.3964,0.3286,0.3131,0.3378,0.3074,0.3895,0.4522,0.4608,0.3778,0.372,0.2764,0.3987,0.3904,0.2818,0.3775,0.3924,0.3815,0.501,0.2861,0.3275,0.3875,0.3338,0.3105,0.3528,0.3407,0.3901,0.3499,0.393,0.4674,0.3309,0.3128,0.5165,0.3654,0.4048,0.3559,0.3154,0.3591,0.3775,0.3844,0.2913,0.378,0.3536,0.2511,0.3014,0.3108,0.3261,0.3352,0.3465,0.3964,0.4171,0.31,0.2992,0.4585,0.2752,0.3128,0.4823,0.4183,0.5073,0.4392,0.2968,0.3439,0.4174
0.3964,0.3286,0.3131,0.3378,0.3565,0.3895,0.4522,0.4608,0.3778,0.372,0.2856,0.3987,0.3904,0.2818,0.3775,0.47,0.3815,0.501,0.2861,0.3275,0.3875,0.3531,0.3318,0.3528,0.3407,0.3901,0.3499,0.393,0.4674,0.3309,0.3292,0.5165,0.3654,0.4048,0.3712,0.3867,0.3591,0.3775,0.3844,0.2913,0.378,0.4513,0.2982,0.3014,0.3108,0.3286,0.3352,0.3465,0.3964,0.4171,0.31,0.3433,0.4585,0.3281,0.3783,0.4823,0.4183,0.5073,0.4392,0.3062,0.3439,0.4174
0.3964,0.3439,0.4059,0.3378,0.3565,0.3895,0.4522,0.4608,0.3778,0.372,0.2856,0.3987,0.3904,0.3654,0.3775,0.5441,0.3815,0.501,0.2861,0.3275,0.3875,0.3531,0.4122,0.3528,0.3467,0.3924,0.3499,0.393,0.4674,0.3378,0.3292,0.5165,0.3654,0.4048,0.3712,0.3867,0.3591,0.3775,0.3844,0.2913,0.378,0.4513,0.3781,0.3014,0.3108,0.3539,0.3505,0.3465,0.3964,0.4171,0.31,0.3433,0.4585,0.3651,0.3783,0.4823,0.5013,0.5073,0.4392,0.3375,0.3439,0.4174
0.3964,0.3439,0.4059,0.3378,0.3565,0.3895,0.4522,0.4608,0.3778,0.372,0.3042,0.3987,0.3904,0.3835,0.3775,0.5441,0.3815,0.501,0.289,0.3275,0.3875,0.3924,0.4122,0.387,0.3467,0.3924,0.3499,0.393,0.4674,0.3525,0.3292,0.5165,0.3654,0.4048,0.3712,0.3867,0.3959,0.3775,0.3844,0.2913,0.3959,0.4513,0.3781,0.3014,0.4677,0.3539,0.3505,0.3465,0.403,0.4171,0.31,0.3433,0.4585,0.3775,0.3783,0.4823,0.5013,0.5073,0.4392,0.3683,0.3439,0.4174
0.3964,0.3439,0.4059,0.3378,0.3565,0.3895,0.4522,0.4797,0.3778,0.372,0.3042,0.3987,0.3904,0.3835,0.3775,0.5441,0.3815,0.501,0.289,0.3651,0.3875,0.3924,0.4122,0.387,0.4117,0.3924,0.3499,0.393,0.4674,0.3525,0.3292,0.5165,0.3654,0.4048,0.3712,0.3867,0.3959,0.3775,0.3844,0.4085,0.3959,0.4513,0.3781,0.3014,0.4677,0.3539,0.3505,0.3465,0.403,0.4171,0.4272,0.3433,0.4585,0.3804,0.3783,0.4823,0.5105,0.5073,0.4392,0.4211,0.3502,0.4174
0.3964,0.3439,0.4059,0.3378,0.4642,0.4306,0.4522,0.5191,0.3778,0.372,0.3042,0.3987,0.3904,0.3835,0.3775,0.5441,0.4211,0.501,0.3324,0.3651,0.3875,0.3924,0.4122,0.387,0.4117,0.3924,0.3499,0.393,0.4674,0.3525,0.3292,0.5165,0.3875,0.4079,0.4028,0.3867,0.3959,0.3775,0.3844,0.4085,0.4338,0.4513,0.3781,0.3014,0.4677,0.3539,0.3505,0.3556,0.403,0.4418,0.4272,0.3433,0.4708,0.3804,0.3783,0.4823,0.5105,0.5073,0.4392,0.4211,0.3775,0.4174
0.3964,0.3594,0.4059,0.3378,0.4642,0.4306,0.4522,0.5191,0.3778,0.4203,0.4183,0.5656,0.3904,0.3835,0.3775,0.5441,0.4211,0.501,0.3324,0.3651,0.3875,0.3924,0.4122,0.387,0.4117,0.3924,0.3499,0.5168,0.4674,0.3525,0.3292,0.5165,0.43,0.4326,0.4028,0.3867,0.3959,0.3775,0.3844,0.4085,0.4338,0.4513,0.3781,0.3157,0.4677,0.3539,0.3505,0.3588,0.4059,0.4418,0.4272,0.3559,0.4708,0.3924,0.3783,0.4823,0.5105,0.5073,0.4392,0.4211,0.3775,0.4174
0.3964,0.3594,0.4059,0.3835,0.4642,0.4306,0.4645,0.5191,0.3778,0.4203,0.4183,0.5656,0.4278,0.4421,0.3775,0.5441,0.4211,0.501,0.3324,0.3801,0.3875,0.4481,0.4122,0.387,0.4117,0.3924,0.3904,0.5168,0.4674,0.3525,0.4186,0.5165,0.43,0.4729,0.4614,0.3867,0.3959,0.3775,0.3844,0.4085,0.4338,0.4513,0.3781,0.3229,0.4677,0.3539,0.3505,0.3588,0.4059,0.4516,0.4272,0.3559,0.4708,0.4085,0.3964,0.4823,0.5228,0.5073,0.4392,0.4211,0.3775,0.4174
0.3964,0.3594,0.4059,0.3835,0.4642,0.5134,0.4645,0.5191,0.3778,0.4203,0.4183,0.5656,0.4278,0.4421,0.3775,0.5441,0.4211,0.501,0.3476,0.3801,0.3875,0.4481,0.4122,0.393,0.4117,0.3924,0.3904,0.5168,0.4674,0.3525,0.4186,0.5165,0.43,0.4729,0.4614,0.3867,0.3959,0.3775,0.4122,0.4085,0.4338,0.4513,0.3781,0.3347,0.4677,0.3539,0.3505,0.3864,0.4059,0.4516,0.4272,0.3559,0.4708,0.4085,0.3964,0.4823,0.5228,0.5073,0.4392,0.4211,0.3775,0.4174
0.3964,0.3594,0.4059,0.3835,0.4642,0.5134,0.4734,0.5191,0.3778,0.4203,0.4183,0.5656,0.4278,0.4424,0.3775,0.5688,0.4211,0.501,0.3476,0.3801,0.4183,0.4481,0.4122,0.4142,0.4826,0.3924,0.3904,0.5168,0.5197,0.3525,0.4186,0.5783,0.43,0.4852,0.4642,0.3867,0.3959,0.3775,0.4122,0.4085,0.449,0.4513,0.3781,0.372,0.4677,0.374,0.3505,0.3987,0.4059,0.4516,0.4522,0.3749,0.4708,0.4085,0.3964,0.4823,0.5228,0.5073,0.4984,0.4797,0.3775,0.4174
0.3964,0.3594,0.4059,0.3959,0.4642,0.5134,0.4734,0.5191,0.3778,0.4203,0.4183,0.5656,0.4278,0.47,0.3775,0.5688,0.4211,0.501,0.397,0.4481,0.4246,0.4481,0.4122,0.4142,0.4826,0.3924,0.3904,0.5168,0.5197,0.3812,0.4186,0.5783,0.43,0.4852,0.4642,0.3867,0.3959,0.3775,0.4341,0.4085,0.449,0.4513,0.3939,0.372,0.4677,0.374,0.4275,0.5105,0.4458,0.4516,0.4522,0.3809,0.4708,0.4177,0.3964,0.4823,0.5751,0.5073,0.4984,0.4884,0.3775,0.4174
0.4246,0.3959,0.4059,0.3959,0.4642,0.5134,0.4737,0.5191,0.3778,0.4298,0.4183,0.6584,0.4278,0.47,0.3775,0.5688,0.4211,0.501,0.397,0.4481,0.4553,0.4602,0.4122,0.4177,0.4826,0.3924,0.3904,0.5168,0.5197,0.3812,0.4186,0.5783,0.43,0.5685,0.4642,0.3867,0.3959,0.3775,0.4341,0.4329,0.449,0.4513,0.3939,0.3844,0.4677,0.4082,0.4275,0.5105,0.4458,0.5068,0.4522,0.3809,0.5013,0.4177,0.3964,0.4823,0.5751,0.5073,0.4984,0.4884,0.3775,0.4174
0.4246,0.3959,0.4059,0.4266,0.4642,0.5134,0.4737,0.5191,0.3778,0.4298,0.4183,0.6584,0.4278,0.47,0.3775,0.5688,0.4269,0.501,0.397,0.4481,0.4829,0.5036,0.455,0.4177,0.4826,0.3924,0.3904,0.5168,0.5197,0.3898,0.4186,0.5783,0.43,0.5901,0.4642,0.3867,0.3959,0.3809,0.4341,0.4329,0.5045,0.4513,0.412,0.3844,0.4734,0.4421,0.4275,0.5105,0.4458,0.5068,0.4522,0.3901,0.5013,0.4177,0.3964,0.5007,0.5751,0.5073,0.4984,0.4884,0.4763,0.4174
0.443,0.3959,0.4059,0.4266,0.5108,0.5134,0.4737,0.5191,0.3778,0.4729,0.4183,0.6584,0.4278,0.47,0.3775,0.5688,0.4269,0.501,0.397,0.4481,0.4829,0.5036,0.455,0.4209,0.4826,0.414,0.4718,0.5168,0.5412,0.4051,0.4186,0.5783,0.4335,0.5901,0.4642,0.3867,0.4519,0.3809,0.4341,0.4329,0.5045,0.4513,0.412,0.3844,0.4892,0.4947,0.4338,0.5105,0.449,0.5068,0.4522,0.4177,0.5013,0.4823,0.3964,0.5007,0.5751,0.5073,0.4984,0.5289,0.4763,0.4174
