0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
-0.0105628,-0.0011789,0.0035764,-0.0114187333333,-0.0130315333333,-0.000182933333333,0.0126451,0.0067769,0.000676366666667,-0.0050244,-0.0058142,-0.00905026666667,-0.0010818,-0.0004675,0.0092683,0.0090265,0.0040545,0.006574,-0.001904,-0.0021412,-0.0012294,-0.00177936666667,-0.0001232,-0.0066241,0.0030357,-0.00919473333333,0.0018842,-0.0030154,0.0028035,0.0003675,0.0072571,0.0028561,0.00557423333333,-0.00621546666667,-0.0027034,-0.0029752,-0.0026178,0.00249586666667,0.01225275,0.001205,-0.0042778,0.0032702,0.0006733,0.000471,0.0103505,-0.0063269,0.0023033,-0.0060636,-0.0054314,0.0037337,-0.0006997,-0.0001168,0.0135379,0.00205113333333,-0.0025271,0.0051964,0.0034962,-0.00195563333333,0.0071963,0.0024942,0.00481843333333,-0.00548006666667
0.0077745,0.00977,0.0137207,0.0052526,0.0032354,0.0123239333333,0.0252043,0.0107778,0.0143135666667,0.0106518,0.008615,0.00388963333333,0.0148089,0.0066332,0.0168888,0.0177504666667,0.0161674,0.017869,0.00776493333333,0.0075223,0.0130053,0.0093823,0.0158716,0.0101186,0.0128775,0.00591916666667,0.0144436,0.0129396,0.0155621,0.010757,0.0138165,0.0160608666667,0.0133721333333,0.00916583333333,0.0096192,0.00997083333333,0.0127494,0.0176067666667,0.0189066666667,0.0168764,0.0063698,0.0162921,0.0103751,0.0083723,0.019048,0.0045173,0.0126980666667,0.0040482,0.0066282,0.0174901,0.0160731,0.0096575,0.0244919,0.0123264333333,0.0085736,0.0219002,0.0169463,0.0101392666667,0.0182831,0.0148825,0.0140222666667,0.00849553333333
0.016865,0.0166651,0.0268102,0.0117227,0.0104571,0.0176988,0.0334421,0.0191202,0.0201390666667,0.0229427,0.0191813,0.0149568,0.0242763,0.0197838,0.0287619,0.0259007666667,0.0243236,0.0257655,0.0178521666667,0.0186625,0.0249412,0.0204964,0.0260788,0.0210756,0.0212189,0.0195181333333,0.0221014666667,0.02631,0.0239295,0.0189551,0.0246608333333,0.0253797,0.0211520333333,0.0210190333333,0.0167592,0.0152871333333,0.0193813,0.0231602666667,0.0249489666667,0.0237571,0.018592,0.0291986,0.0175056,0.0177531,0.0280917,0.0148216,0.0198985,0.0135589,0.0157221,0.0240687,0.0209679,0.0189541,0.0325003,0.0238026333333,0.0222529,0.0231246,0.0248747,0.0168136666667,0.0252823,0.023431,0.0272081666667,0.0129318333333
0.0234595,0.019239,0.03415,0.0198295,0.0215906,0.0278339,0.0390366,0.0292895,0.0251645,0.032153,0.0276906333333,0.0220524,0.0309045,0.0283326,0.0371109,0.0333134333333,0.0320973,0.0297668,0.0273035666667,0.0270774,0.0349723,0.0306665666667,0.0323426,0.0291042,0.0268306,0.0253480333333,0.0268707666667,0.032141,0.031386,0.0260648,0.0351432333333,0.0320128,0.0286986333333,0.0280053,0.0201491,0.0192444333333,0.0242171,0.0323674,0.0310789,0.0279561,0.0262022,0.0378297,0.0241104,0.0254405,0.0375071,0.0240692,0.0274897,0.0240307,0.0196842,0.0321106,0.0244852,0.0288292,0.0368541,0.0324016333333,0.0246842,0.029421,0.0307671,0.0237359666667,0.031349,0.03014,0.0298406333333,0.0213863333333
0.0285742,0.0244796,0.0373435,0.0278459,0.0268459,0.0294763,0.0438258,0.0379492,0.0313165,0.0398951,0.030397,0.0266973,0.0361866,0.0333475,0.0418223,0.0415943333333,0.0390392,0.0379279,0.0310476,0.0319689,0.0422272,0.0402571666667,0.0440512,0.0315451,0.0361104,0.0320854,0.0289886666667,0.0358496,0.0390615,0.028723,0.0402283,0.0361681,0.0310886333333,0.0330723,0.026141,0.0280151333333,0.0290435,0.0408933,0.0377392,0.0310437,0.0349094,0.0480672,0.0291831,0.0334583,0.0427489,0.0321182,0.0324339,0.0264723,0.0229904,0.0393266,0.0339772,0.0316581,0.046177,0.0395875,0.0308218,0.0327717,0.0362039,0.0299560333333,0.0358348,0.0348833,0.0325229,0.0261772333333
0.0353698,0.0297486,0.0410856,0.03595,0.0343755,0.0362832,0.051069,0.0458263,0.038719,0.0484979,0.0340726,0.0311654,0.0417776,0.0401001,0.0474968,0.0457857333333,0.0422764,0.0357767,0.0368906333333,0.0332328,0.0493871,0.0457619333333,0.0512341,0.0370021,0.0409898,0.0394147,0.0362618666667,0.0374705,0.0463393,0.034471,0.04321,0.0414769,0.0342679333333,0.0398264,0.0308924,0.0314777333333,0.0311205,0.0459683,0.0449763,0.0386525,0.0442286,0.0539616,0.0349523,0.0354065,0.0501575,0.0351242,0.042327,0.0320027333333,0.0337438,0.0449267,0.0378237,0.0358075,0.0533256,0.0447948,0.0331704,0.0351374,0.0464715,0.033633,0.0392902,0.0415888,0.0395729,0.0326471
0.0403542,0.0343663,0.0427485,0.039361,0.0395898,0.0419544,0.0574092,0.0529733,0.046604,0.0545399,0.0388673,0.0361179,0.0452807,0.0445119,0.0523786,0.0544161666667,0.0457588,0.0409049,0.0431673,0.0364334,0.0528552,0.0501519333333,0.0560716,0.0447259,0.0461327,0.0425822,0.0403934666667,0.0423644,0.0548505,0.0403882,0.0489186,0.0481644,0.0399708333333,0.0437542,0.0333316,0.0329731333333,0.0356904,0.0506161,0.0484134,0.0452954,0.0499501,0.059265,0.0408705,0.0428761,0.0603495,0.0409426,0.0424996,0.0348948,0.0389718,0.0494756,0.0403569,0.0372589,0.0590284,0.048806,0.0356612,0.0400759,0.0526884,0.0380756,0.0472,0.047294,0.0424518,0.0363009
0.0465325,0.0416077,0.0474344,0.0431814,0.0449044,0.0411942,0.0656097,0.0604399,0.0468945,0.059282,0.0424461,0.0429551,0.052923,0.0506785,0.0566325,0.0690926666667,0.0490773,0.0468027,0.0465692333333,0.0393166,0.0611202,0.0576471333333,0.0592106,0.0502446,0.0506103,0.0458568,0.0477620666667,0.0540119,0.0623113,0.0416879,0.0535557,0.0548709,0.0392208333333,0.0461437,0.0422809,0.0394661333333,0.0420841,0.0591909,0.0487658,0.0501087,0.0561406,0.0674891,0.0454165,0.0446404,0.0625123,0.0451244,0.0451611,0.0391156,0.0505152,0.054898,0.0445143,0.037233,0.0635232,0.0505352,0.0372934,0.0472480333333,0.0583848,0.0383149,0.0541328,0.0512934,0.0436455,0.0444455666667
0.0535255,0.0425396,0.0521074,0.0502479,0.0513119,0.0458936,0.069537,0.0690632,0.0486061,0.0657912,0.0444723,0.0457565,0.0569622,0.0549904,0.0603997,0.0866394,0.0525001,0.0540828,0.0527611333333,0.0400115,0.0667917,0.0606683333333,0.065607,0.0532301,0.0543613,0.0492188,0.0524778666667,0.0610043,0.0725438666667,0.0500369,0.0576049,0.060048,0.0415612,0.0551679,0.0472457,0.0439939333333,0.048841,0.0663438,0.054712,0.0571055,0.0596922,0.0749767,0.0522391,0.0509137,0.0703286,0.0514454,0.0528626,0.0449954,0.0513967,0.0600766,0.0479367,0.0404916,0.0664778,0.0556282,0.0437823,0.0537973333333,0.0672194,0.0434835,0.058706,0.057825,0.0444232,0.0522791
0.0598827,0.0430358,0.05748,0.0559727,0.0614179,0.0515246,0.073073,0.0775902,0.0533534,0.0731334,0.0493848,0.0526327,0.0601259,0.060957,0.0629901,0.1029823,0.054889,0.059076,0.0576348,0.0413238,0.0702296,0.0665289333333,0.0719216,0.0603089,0.0608465,0.0561525,0.0576313,0.0650492,0.0760744,0.0556949,0.0602474,0.0688083,0.0450076,0.0644251,0.0540273,0.0494446666667,0.0519633,0.0715448,0.058118,0.0624041,0.0633118,0.0854977,0.0565838,0.0559468,0.0778605,0.0574834,0.0549992,0.0515018,0.0540609,0.0666604,0.0531425,0.0454916,0.0708864,0.0634716,0.0488763,0.0589500333333,0.0792657,0.0472291,0.0614442,0.066615,0.044491,0.0556952
