Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
6951,"[4.1055029999999997, 5.1177580000000003]",0,negative, , , , 
9473,"[4.2662990000000001, 4.8925710000000002]",0,negative, , , , 
4997,"[4.7428050000000006, 5.4827709999999996]",0,negative,0.7209,0.9118,56.8609,0.6309
9874,"[4.1936919999999995, 4.9260299999999999]",0,positive, , , , 
14568,"[4.8633009999999999, 5.7815209999999997]",0,positive, , , , 
16509,"[4.9379819999999999, 6.1140349999999994]",0,positive,0.7867,0.9516,47.6247,0.6642
