Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
9862,"[1202.9000000000001, 2262.0]",0,mesothelioma,0.9032,0.7179,80.2566,0.4712
8708,"[43.700000000000003, 294.60000000000002]",0,adenocarcinoma,0.8733,0.9776,43.2874,0.4409
