metric,mean,std,mean±std,min,max,median
exceptionality,1.0000,0.0000,1.0000±0.0000,1.0000,1.0000,1.0000
#sg,10.0000,0.0000,10.0000±0.0000,10.0000,10.0000,10.0000
length,2.6667,0.3284,2.6667±0.3284,2.0000,3.3000,2.7000
sgCov,0.5467,0.0012,0.5467±0.0012,0.5438,0.5485,0.5468
setCov,0.9460,0.0729,0.9460±0.0729,0.7973,1.0000,0.9963
description redundancy,0.1327,0.0810,0.1327±0.0810,0.0407,0.3815,0.1139
coverage redundancy,0.6879,0.0746,0.6879±0.0746,0.5799,0.8349,0.6667
CR,0.5023,0.0075,0.5023±0.0075,0.4936,0.5173,0.4980
model redundancy,0.2326,0.1208,0.2326±0.1208,0.0889,0.4889,0.2000
