Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
27,"[0.13589999999999999, 0.27560000000000001]",0,M,0.8538,0.9005,319.46,0.7459
22,"[50.409999999999997, 106.0]",0,B,0.9216,0.9481,271.6735,0.7823
