Rule_Obj,Rule_Score
"[['sex', 'ph-ecog'], [['1'], ['2.0', '1.0']]]",0.5641413935072699
"[['age', 'sex'], [[65, 82], ['1', '2']]]",0.5536692900380874
"[['age'], [[65, 82]]]",0.5536692900380874
"[['ph-karno'], [[80.0, 100.0]]]",0.5358080113141209
"[['ph-ecog', 'sex', 'age'], [['2.0', '1.0'], ['1', '2'], [56, 80]]]",0.533015173303301
"[['sex'], [['2']]]",0.5022058960335514
"[['pat-karno', 'sex'], [[80.0, 90.0], ['1', '2']]]",0.4856338625129227
"[['age', 'ph-ecog'], [[58, 73], ['1.0', '0.0']]]",0.4085334037497226
"[['ph-ecog'], [['0.0']]]",0.3983057772318819
"[['meal-cal'], [[975.0, 1060.0]]]",0.2947172875745991
