,mean+/-std,meanrank
description redundancy,0.1183+/-0.0493,1.0
CR,0.4366+/-0.0254,2.0
sgCov,0.4893+/-0.022,3.0
coverage redundancy,0.6535+/-0.0487,4.33
model redundancy,0.7067+/-0.1383,5.27
exceptionality,0.8467+/-0.1246,6.13
mean_rule_score,0.909+/-0.0054,6.8
setCov,0.9643+/-0.0346,7.47
length,1.98+/-0.1656,9.0
#sg,10.0+/-0.0,10.0
