0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0736,0.0787,0.057,0.0787,0.0651,0.102,0.0782,0.0497,0.0778,0.0497,0.0629,0.0748,0.0655,0.0787,0.0629,0.0489,0.0787,0.0825,0.0859,0.0808,0.0727,0.0863,0.0787,0.057,0.0646,0.0548,0.0782,0.0651,0.102,0.1016,0.0889,0.0629,0.0931,0.0646,0.0706,0.0629,0.0731,0.0935,0.0582,0.0646,0.0855,0.0646,0.0859,0.0991,0.1331,0.074,0.0782,0.0808,0.0697,0.0863,0.0574,0.0646,0.0787,0.0863,0.057,0.1016,0.1101,0.0591,0.0565,0.1173,0.0863,0.0808,0.0855,0.0574,0.0706,0.0944,0.0893,0.0625,0.0702,0.0889,0.0629,0.0697,0.0736,0.0489,0.0944,0.0629,0.0816,0.0787,0.0931,0.0736,0.0787,0.0778,0.0812,0.0787,0.0625
0.0736,0.0787,0.057,0.0787,0.0651,0.102,0.1016,0.0497,0.1097,0.0497,0.102,0.0748,0.0655,0.0787,0.0629,0.0489,0.0787,0.0825,0.0859,0.0808,0.0727,0.0863,0.0787,0.057,0.0646,0.0548,0.0782,0.0651,0.102,0.1016,0.0889,0.0629,0.0931,0.0646,0.0787,0.0629,0.0731,0.0935,0.0582,0.0646,0.0855,0.0646,0.0859,0.0991,0.1331,0.074,0.0782,0.0808,0.0697,0.0863,0.0574,0.0646,0.0787,0.0863,0.057,0.1016,0.1101,0.0744,0.057,0.1173,0.0863,0.0808,0.0855,0.0574,0.0706,0.0944,0.0893,0.0625,0.0702,0.0889,0.0629,0.0697,0.0736,0.0489,0.1088,0.0629,0.0816,0.0787,0.1008,0.0736,0.0944,0.0782,0.0812,0.0787,0.0625
0.0736,0.0863,0.057,0.0787,0.0651,0.102,0.1016,0.0497,0.139,0.0497,0.102,0.0816,0.0655,0.0787,0.0629,0.0489,0.0787,0.0825,0.094,0.0808,0.0727,0.0863,0.0787,0.057,0.0646,0.0548,0.0782,0.0651,0.102,0.1016,0.0889,0.0629,0.0931,0.0646,0.0787,0.0706,0.0731,0.0935,0.0999,0.0646,0.0855,0.0646,0.0859,0.0991,0.1331,0.074,0.0782,0.0808,0.0697,0.0863,0.0574,0.0646,0.0787,0.0863,0.0808,0.1016,0.1101,0.0744,0.0574,0.1173,0.094,0.0808,0.0855,0.0574,0.0706,0.0944,0.0893,0.0706,0.0859,0.0889,0.0629,0.0697,0.0816,0.0489,0.1088,0.0778,0.0986,0.0787,0.1008,0.0808,0.0944,0.1093,0.0812,0.0787,0.0625
0.0736,0.0863,0.057,0.0787,0.0651,0.102,0.1016,0.0578,0.139,0.0565,0.102,0.0816,0.0655,0.0863,0.0629,0.0574,0.0787,0.0825,0.094,0.0808,0.0727,0.0863,0.0787,0.057,0.0646,0.0625,0.0782,0.0736,0.102,0.1016,0.0889,0.0689,0.0931,0.0646,0.0787,0.0706,0.0731,0.0935,0.0999,0.0676,0.0855,0.0646,0.0859,0.0991,0.1331,0.074,0.0782,0.0808,0.0697,0.0863,0.0574,0.0646,0.0787,0.0863,0.0808,0.1016,0.1246,0.0744,0.0906,0.1173,0.094,0.0808,0.0855,0.0574,0.0706,0.0944,0.0893,0.0782,0.0859,0.0889,0.0629,0.0706,0.0816,0.0489,0.1088,0.0778,0.0986,0.0787,0.1008,0.0808,0.0944,0.1093,0.0812,0.0787,0.0625
0.0736,0.0863,0.057,0.0787,0.0978,0.102,0.1016,0.0578,0.139,0.0565,0.102,0.0816,0.0655,0.0863,0.0629,0.0574,0.0855,0.0825,0.1016,0.0808,0.0727,0.0863,0.0787,0.057,0.0646,0.0625,0.0787,0.0812,0.102,0.1016,0.0889,0.0689,0.0931,0.0646,0.0787,0.0706,0.0731,0.0978,0.0999,0.0676,0.0855,0.0646,0.0859,0.0991,0.1331,0.074,0.0782,0.0808,0.0697,0.0863,0.0574,0.0646,0.0787,0.0863,0.0808,0.1016,0.1246,0.0744,0.0906,0.1173,0.094,0.0808,0.0855,0.0655,0.0706,0.0944,0.0893,0.0782,0.0859,0.0889,0.0697,0.0706,0.0816,0.0489,0.1088,0.0778,0.0986,0.0787,0.1008,0.0808,0.0944,0.1093,0.0812,0.0787,0.0629
0.0736,0.0863,0.057,0.0787,0.0978,0.102,0.1016,0.0655,0.139,0.0565,0.102,0.0816,0.0655,0.0863,0.0629,0.0574,0.0855,0.0825,0.1016,0.0808,0.0727,0.0863,0.0787,0.0646,0.0646,0.0625,0.0787,0.0812,0.102,0.1016,0.0889,0.0689,0.0931,0.0731,0.0787,0.0706,0.0731,0.0978,0.0999,0.0676,0.0855,0.0646,0.0859,0.0991,0.1331,0.074,0.0782,0.0808,0.0702,0.0863,0.0574,0.0646,0.0863,0.094,0.0808,0.1016,0.1246,0.0744,0.0906,0.1173,0.094,0.0808,0.0855,0.0655,0.0782,0.0944,0.0893,0.0782,0.0859,0.0889,0.0697,0.0706,0.0825,0.0489,0.1088,0.0778,0.0986,0.1093,0.1008,0.0808,0.0944,0.1093,0.0812,0.0787,0.0629
0.0829,0.0863,0.057,0.0787,0.0995,0.102,0.1016,0.0655,0.139,0.0565,0.102,0.0816,0.0655,0.0863,0.0859,0.0651,0.0855,0.0825,0.1016,0.0808,0.0727,0.0863,0.0787,0.0893,0.0646,0.0706,0.0787,0.0812,0.102,0.1016,0.0889,0.0689,0.0931,0.0731,0.0787,0.0706,0.0731,0.1093,0.0999,0.0676,0.0855,0.1063,0.0859,0.0991,0.1331,0.0816,0.0782,0.0889,0.0702,0.0863,0.0574,0.0646,0.0863,0.094,0.0808,0.1016,0.1246,0.0744,0.0906,0.1173,0.094,0.0808,0.0855,0.0655,0.0782,0.1093,0.0893,0.0782,0.0859,0.0889,0.0697,0.0706,0.0974,0.0646,0.1088,0.0778,0.1063,0.1093,0.1008,0.0808,0.0944,0.1093,0.0812,0.0944,0.0629
0.0829,0.0863,0.057,0.0787,0.0995,0.102,0.1016,0.0655,0.139,0.0565,0.102,0.0816,0.0655,0.0863,0.0859,0.0659,0.0855,0.0825,0.1016,0.0808,0.0727,0.0863,0.0787,0.0893,0.0646,0.0706,0.0787,0.0812,0.102,0.1016,0.0889,0.0689,0.0931,0.0731,0.0787,0.0706,0.0731,0.1093,0.0999,0.0676,0.0855,0.1063,0.0859,0.0991,0.1331,0.0816,0.0782,0.0889,0.0778,0.0863,0.0595,0.0731,0.0863,0.094,0.0808,0.1016,0.1246,0.0744,0.0906,0.1173,0.1084,0.0808,0.0855,0.0655,0.0787,0.1093,0.0893,0.0782,0.1093,0.0889,0.0697,0.0782,0.0974,0.0646,0.1088,0.0778,0.1224,0.1093,0.1008,0.0808,0.0944,0.1093,0.0812,0.0944,0.0629
0.0829,0.0863,0.057,0.0787,0.0995,0.102,0.1016,0.0655,0.139,0.0565,0.102,0.1135,0.074,0.0863,0.0859,0.0659,0.0855,0.0825,0.1016,0.0808,0.0727,0.0863,0.0787,0.0893,0.0672,0.0706,0.0787,0.0812,0.102,0.1088,0.0889,0.0689,0.0931,0.0731,0.0944,0.0706,0.0731,0.1093,0.0999,0.0727,0.0855,0.1063,0.0859,0.0991,0.1331,0.0816,0.0782,0.0889,0.0778,0.0863,0.0646,0.0731,0.0863,0.094,0.0808,0.1016,0.1246,0.0744,0.0906,0.1173,0.1084,0.0808,0.0855,0.0731,0.0787,0.1093,0.0893,0.0833,0.1093,0.0889,0.0697,0.0782,0.0974,0.0646,0.1088,0.0778,0.1224,0.1093,0.1008,0.0808,0.0944,0.1093,0.0812,0.0944,0.0629
0.0829,0.0863,0.057,0.0787,0.0995,0.102,0.1016,0.0655,0.139,0.057,0.102,0.1135,0.074,0.0863,0.0859,0.0659,0.0863,0.0825,0.1016,0.0808,0.0727,0.0863,0.094,0.0893,0.0672,0.0706,0.0787,0.0897,0.102,0.1088,0.0889,0.0697,0.0931,0.0731,0.0944,0.102,0.0731,0.1093,0.0999,0.0727,0.0855,0.1063,0.0859,0.0991,0.1331,0.0816,0.0829,0.0889,0.0778,0.0863,0.0646,0.0731,0.0863,0.094,0.0808,0.1016,0.1246,0.0744,0.0906,0.1173,0.1084,0.0808,0.0855,0.0731,0.0787,0.1093,0.0893,0.0833,0.1093,0.0889,0.0697,0.0782,0.0974,0.0646,0.1088,0.0778,0.1224,0.1093,0.1008,0.0808,0.0944,0.1093,0.0812,0.0944,0.0629
