0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
0.0085674,0.0154276,0.0088688,0.0154058,0.0087924,0.01533,0.0155716,0.008673,0.015273,0.008546,0.0154738,0.008749,0.0081798,0.0145504,0.0154294,0.0078724,0.0157752,0.0098644,0.0158816,0.0096568,0.0089426,0.0157164,0.0158208,0.0083928,0.0087518,0.0151346,0.0157064,0.0087696,0.0159202,0.01523,0.009472,0.015355,0.015481,0.0093728,0.0154052,0.0153376,0.0084606,0.0154846,0.0089052,0.008655,0.0156676,0.0088544,0.0154044,0.0078142,0.0154696,0.0094426,0.015331,0.0085428,0.0150754,0.0149754,0.0087242,0.0088246,0.0155612,0.0157604,0.0086602,0.0156538,0.016598,0.0087826,0.0087394,0.0157436,0.0160944,0.0093448,0.0152086,0.0081254,0.0148058,0.015364,0.0085768,0.0144998,0.015165,0.0095236,0.0154298,0.0162682,0.0087368,0.0089094,0.0164944,0.0158008,0.0093454,0.0157296,0.0154878,0.0086426,0.0158794,0.0155466,0.0090038,0.015538,0.0154256
0.0087016,0.0151132,0.0087658,0.0156216,0.0091588,0.0151226,0.014875,0.008828,0.0154456,0.0087268,0.0155866,0.0090652,0.008265,0.0143708,0.015596,0.0079628,0.0154926,0.0105042,0.0156294,0.0096944,0.008939,0.016352,0.0157662,0.0086826,0.0088084,0.0151368,0.0157502,0.0086416,0.0157118,0.0152586,0.009803,0.0146872,0.015308,0.0092898,0.0155312,0.0153262,0.0088058,0.0156142,0.0087638,0.0086216,0.0156684,0.0088274,0.0153644,0.008117,0.0155802,0.0095254,0.0152944,0.0088516,0.014886,0.0143534,0.0090214,0.0090394,0.0155582,0.0152882,0.0087678,0.0155912,0.016472,0.0090298,0.0086904,0.015659,0.01599,0.0093566,0.0147472,0.0083118,0.0148608,0.015132,0.0086386,0.0143224,0.0152408,0.0096144,0.015265,0.015789,0.0089326,0.008992,0.0164528,0.0154922,0.0090884,0.015414,0.0155224,0.008919,0.0157968,0.0155592,0.008792,0.0153654,0.0150976
0.0091186,0.014797,0.008646,0.015509,0.009351,0.0149694,0.0150056,0.0089154,0.0154138,0.0086988,0.0153876,0.0096482,0.008414,0.0144126,0.015255,0.0081774,0.0153702,0.0104428,0.0156648,0.0092654,0.0090318,0.0160996,0.0156046,0.0086752,0.0086692,0.0148862,0.0151786,0.0088318,0.0159516,0.015146,0.0097868,0.014825,0.01534,0.0092762,0.015313,0.0151228,0.0087314,0.0152052,0.009212,0.0086606,0.0154802,0.009156,0.015129,0.008394,0.0155126,0.0101348,0.0150612,0.0087344,0.0150908,0.014689,0.0087676,0.0089284,0.015244,0.0152862,0.009446,0.015444,0.0159658,0.0090942,0.009086,0.0155084,0.015966,0.0093546,0.0146502,0.0085688,0.0151886,0.015178,0.0084336,0.014339,0.0151432,0.0096638,0.0152864,0.015608,0.0091982,0.008739,0.016313,0.015206,0.0094022,0.015323,0.0157364,0.0091162,0.0158764,0.0155162,0.0087452,0.0152438,0.0149944
0.009213,0.014839,0.0086858,0.0153502,0.009789,0.0148814,0.0150502,0.0090006,0.0156742,0.008816,0.0154304,0.0097546,0.0087444,0.0144542,0.0151924,0.0079756,0.0151704,0.0106616,0.0156252,0.0094976,0.0089324,0.016436,0.0155034,0.0090174,0.0084704,0.0141084,0.0153018,0.0088286,0.015959,0.014991,0.0104928,0.0148748,0.0152624,0.0093208,0.0153032,0.015228,0.009001,0.0150612,0.0093924,0.00884,0.0150448,0.0094652,0.0147996,0.0088286,0.0154488,0.0102118,0.0147208,0.0090168,0.014797,0.0145116,0.0089186,0.0089234,0.0150402,0.0152516,0.0094022,0.0156746,0.0160672,0.0092186,0.0093608,0.0154708,0.016185,0.0096438,0.0148226,0.00854,0.0146774,0.0155664,0.0085582,0.014265,0.0152908,0.0096796,0.0154436,0.0155826,0.0097118,0.0088102,0.016514,0.0151388,0.0097878,0.014994,0.0152856,0.0094138,0.0155608,0.0155024,0.0082598,0.0150542,0.0151818
0.0093018,0.0147584,0.0087704,0.015415,0.0098968,0.0147338,0.0152094,0.0092588,0.0156138,0.0088554,0.0154206,0.010108,0.0089242,0.0146172,0.0153342,0.0084946,0.0149862,0.0113098,0.0156112,0.0098202,0.0089978,0.0160678,0.0155238,0.0088414,0.0084746,0.0141514,0.015421,0.0092972,0.0159408,0.015114,0.0102188,0.0146952,0.0152274,0.0093014,0.0150834,0.0150478,0.0087944,0.015365,0.0092442,0.009232,0.0146574,0.0093364,0.0145948,0.0086658,0.0155156,0.0104086,0.0148862,0.0088522,0.0144464,0.0146656,0.0090618,0.0091106,0.0150718,0.0149224,0.009343,0.0151964,0.0159348,0.009116,0.0095994,0.015597,0.0159272,0.009694,0.0148266,0.0084384,0.0147002,0.015772,0.008616,0.0143552,0.0154178,0.0096334,0.0151736,0.0154152,0.0092092,0.009022,0.0157526,0.014728,0.0098472,0.0150822,0.0153524,0.0098948,0.0158586,0.0155512,0.0085938,0.0151404,0.0148252
0.009523,0.014699,0.0089128,0.0153154,0.009612,0.0146112,0.0150272,0.0089914,0.0155202,0.0088832,0.0154598,0.0097732,0.0087918,0.0143392,0.015431,0.0085332,0.015606,0.0112032,0.0155028,0.0098872,0.0091466,0.015717,0.0153408,0.009338,0.0089926,0.0140868,0.0153386,0.0095364,0.0160594,0.0147524,0.010538,0.0149744,0.015062,0.0092212,0.0153802,0.0151756,0.0088564,0.015274,0.0094762,0.009779,0.0147628,0.0092454,0.0143708,0.0089298,0.0154688,0.0101746,0.0149588,0.0090734,0.0147418,0.0147848,0.0091674,0.009397,0.0150606,0.0152474,0.0098144,0.0150198,0.0156072,0.0093142,0.0092786,0.015391,0.0160322,0.0097148,0.0148592,0.0084714,0.014348,0.0152288,0.0089158,0.0141992,0.0159036,0.0098202,0.0152814,0.0148816,0.0096746,0.0091544,0.015924,0.0146118,0.0096714,0.0153242,0.015302,0.0097514,0.015814,0.0159088,0.0090834,0.0151104,0.0148064
0.0096226,0.0145648,0.0093574,0.0154384,0.009667,0.0144808,0.0152328,0.009303,0.0152104,0.0092054,0.0152978,0.0099486,0.0084574,0.0142592,0.0154036,0.0090472,0.0157428,0.0114272,0.0156434,0.0102448,0.0092456,0.0155496,0.0155822,0.0097666,0.0089584,0.0141432,0.0153572,0.009397,0.0163082,0.0146064,0.0105412,0.0153444,0.0149474,0.0092532,0.0153332,0.0149774,0.0089968,0.0150226,0.0092376,0.009562,0.0149878,0.0101134,0.0149058,0.0092088,0.0158676,0.0103814,0.0149262,0.0095678,0.014794,0.0148008,0.009488,0.0095076,0.0152138,0.0155878,0.010014,0.0151476,0.0161204,0.0096614,0.0094822,0.0154944,0.0155468,0.0098088,0.014663,0.0086968,0.0141256,0.0151608,0.0088548,0.0139116,0.0159796,0.0097288,0.015238,0.0150622,0.0098582,0.00914,0.015734,0.0149458,0.0098486,0.0152604,0.0155142,0.0100216,0.0159338,0.0156946,0.009129,0.0150012,0.0145844
0.0096908,0.0147774,0.0093398,0.0158256,0.0101944,0.014367,0.0150284,0.0093984,0.0154774,0.0092992,0.0153916,0.009945,0.0086296,0.013972,0.0152934,0.0088878,0.015313,0.0118172,0.0158182,0.0101548,0.0092444,0.0153986,0.0158352,0.0099548,0.009214,0.0139568,0.0152936,0.0091574,0.0163062,0.0146838,0.0108626,0.0152302,0.0148478,0.0093082,0.0151816,0.0153746,0.009297,0.0150606,0.0095462,0.009967,0.015538,0.0098372,0.01476,0.0094602,0.0154694,0.0105368,0.0149742,0.0096352,0.0145146,0.0151308,0.0096838,0.0097778,0.01523,0.0152802,0.0100532,0.0148568,0.0157066,0.0094822,0.0097244,0.0155596,0.0158212,0.00976,0.0143788,0.0086398,0.0144642,0.0153938,0.0088666,0.014284,0.0160758,0.0102726,0.0153668,0.015366,0.0098462,0.0091658,0.0160776,0.0150262,0.009937,0.015156,0.0155628,0.0101896,0.0158624,0.0156784,0.0088318,0.015389,0.01453
0.0101458,0.0146664,0.0096974,0.0154094,0.0100648,0.0143134,0.0146338,0.0096098,0.0154032,0.0096086,0.0154872,0.0102158,0.0084702,0.014227,0.0154942,0.009031,0.0150578,0.0116792,0.015588,0.0103218,0.009056,0.0153072,0.0156952,0.0098948,0.0095918,0.0137706,0.0150506,0.0096234,0.0161784,0.0152054,0.0107692,0.0151188,0.0148708,0.0094582,0.0155784,0.0151832,0.0096396,0.0156688,0.0095176,0.0104608,0.015401,0.010026,0.0147268,0.009895,0.0153948,0.0104162,0.0150988,0.0093286,0.0147282,0.015044,0.0096976,0.0096706,0.015234,0.0151674,0.010029,0.0148432,0.0156962,0.009683,0.0098918,0.0158066,0.0160324,0.010006,0.014712,0.0088372,0.014218,0.0152174,0.0092468,0.0146072,0.0161798,0.0106084,0.0154748,0.0153896,0.0101116,0.0095436,0.0161654,0.0152716,0.0100604,0.0152272,0.015569,0.0103186,0.0160216,0.015715,0.0092488,0.015494,0.014291
0.0101992,0.0147986,0.0098716,0.0156426,0.0097714,0.0148598,0.0144426,0.0093576,0.0153472,0.0097674,0.0154882,0.0107452,0.0091058,0.0149524,0.0157454,0.0091782,0.0151952,0.0119858,0.0163262,0.010264,0.0090908,0.0153508,0.0156396,0.0099156,0.0092896,0.0143174,0.0153682,0.0098236,0.0158898,0.0153524,0.0105386,0.0148744,0.0146706,0.0090894,0.0155086,0.0155672,0.0097172,0.0158176,0.0094576,0.010543,0.0155296,0.0101808,0.0151224,0.0097608,0.015907,0.0106422,0.0152718,0.0095238,0.0147928,0.014953,0.0093812,0.0100082,0.0152722,0.015334,0.0102588,0.0150184,0.015321,0.0093622,0.0099434,0.0154666,0.0162064,0.010101,0.01473,0.0090924,0.0144644,0.015462,0.0091816,0.0147508,0.0161424,0.0105118,0.0156646,0.0157898,0.0100374,0.0098126,0.0163,0.0154086,0.0104026,0.0152516,0.015354,0.0104958,0.01603,0.0156406,0.0089044,0.0155926,0.0143336
