0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0.0582212,0.0222275,0.004911,0.0227042,0.0418471,0.0154357666667,0.0097136,0.017056,0.0616891333333,0.0406786,-6.85e-05,0.0224182,0.0518096,0.0592419,-0.0119667,0.0179497,0.0624218,0.0381135,0.0016472,0.0195964,0.0521127,0.0428959,0.0016035,0.0165429,0.0451906,0.0270657,-0.0028075,0.0254399,0.05208805,0.0317332,-0.0048858,0.0225612,0.0631285,0.0415531,-0.0101903,0.0191036,0.0418378,0.03085655,0.0017288,0.023927,0.0545203,0.0191019,-0.0006645,0.0188692,0.0393225,0.0122864,-0.0045821,0.0124157,0.040516,0.042757,-0.0114814,0.0194245,0.0314237,0.0262455,-0.0039159,0.0213574,0.04145,0.0524612,-0.0023196,0.0139144,0.0287294,0.0451514,-0.0094069,0.0083252,0.0606952,0.0262872,-0.0009053,0.0201034,0.0523756,0.0106142,-0.0007394,0.0201504,0.0312246,0.0347172,-0.0025909,0.0136766,0.0509883,0.03276,0.0007081,0.0125854,0.0575224,0.0509256,0.0038816,0.0195932,0.0385986,0.0472789,-0.0077386,0.0247906,0.0621215,0.0526685,0.0068025,0.0194206,0.0410304,0.0405226,0.0006344,0.0173524,0.0484581,0.0617295,-0.0066491,0.0223892,0.0428492,0.0321448,0.0059243,0.0135038,0.0582701,0.0006805,-4.77e-05,0.014615,0.0452978,0.0402539,-0.0038881,0.0154422,0.0317737,0.0435553,-0.0066507,0.0201442,0.0415902666667,0.0467757,-0.0011494,0.0211191
0.0318949,0.0212097,-0.0069952,0.0300468,0.0301477666667,0.0315421666667,-0.0028011,0.0229812,0.0336475333333,0.0412529,-0.0238975,0.0202762,0.03777505,0.0582873,-0.0129587,0.0269542,0.0228943,0.03371045,-0.0080917,0.0196546,0.0363267,0.0410255,-0.0236108,0.0229269,0.0240341,0.0259777,-0.0063093,0.0276792,0.04370345,0.0268479,-0.0148582,0.025517,0.0283473,0.0304566,-0.0248366,0.0147823,0.0417898666667,0.02064745,-0.0073491,0.024902,0.0400862666667,0.0182968,-0.0243382,0.0188348,-0.00110333333333,0.0056205,-0.0091878,0.0167223,0.0483952,0.0285841,-0.0109169,0.0205466,0.01624965,0.0163591,-0.0173908,0.0247626,0.014776,0.0382132,-0.0197955,0.0147268,0.0251452666667,0.0348940666667,-0.02371,0.0141428,0.0213618,0.0060122,-0.0171102,0.023661,0.0316654,-0.0007094,-0.0084285,0.0245016,0.0120682333333,0.0374537,-0.0153908,0.0191248,0.0286655,0.0144734,-0.0082834,0.0129966,0.0399766666667,0.0394075,-0.0059281,0.0181426,0.0230896,0.0166714,-0.0030552,0.0266518,0.0363023666667,0.0416615,-0.0020601,0.0207904,0.0268946,0.0330169,-0.0126129,0.0154825,0.0243964666667,0.051279,-0.0157639,0.023278,0.0486694,0.0198042,-0.0055773,0.0181557,0.017016,-0.00950271666667,-0.00625,0.0231527,0.0402215,0.0146385,-0.0102716,0.018772,0.0177896,0.0222018,-0.0195019,0.023809,0.0268634666667,0.04761315,-0.0044082,0.0228512
0.0219430166667,0.0492058333333,-0.0066437,0.035426,0.0339264666667,0.0296907666667,-0.0089836,0.029692,0.0509052166667,0.0574605666667,-0.0158043,0.0314153,0.0461518033333,0.0720056,0.0002378,0.0313138,0.0085938,0.0463517833333,0.003708,0.0262784,0.0179057,0.0279569,-0.0052371,0.0318109,0.0230885,0.0196188666667,-0.0035989,0.0339868,0.02093155,0.0445012,-0.0103732,0.0286318,0.0179976,0.0275817,-0.020613,0.0309671,0.0407158,0.03308105,-0.0087522,0.0278566,0.0231758,0.0321340166667,-0.0057562,0.0219654,-0.0008796,0.0160031,-0.0057054,0.0195216,0.0324674666667,0.0490909,-0.0163927,0.0316095,0.01893985,0.0291811333333,-0.0040886,0.0297262,0.01150885,0.0549328166667,-0.0145274,0.0239734,0.00839956666667,0.0368883,-0.0186233,0.0211421,0.0354215666667,0.0150114,-0.0115525,0.0263134,0.0252658,0.0233225,-0.0028696,0.0306736,0.0158773666667,0.0418979,-0.0026994,0.0275025,0.0269153666667,0.0188127,-0.0086294,0.0203068,0.0208953,0.0631235166667,-0.0006599,0.025281,0.0056256,0.0454584,-0.0043211,0.0306644,0.007652,0.0390737666667,0.0027744,0.0211539,0.0141496,0.04476745,-0.0091859,0.0176932,0.0240201666667,0.0737449333333,-0.0096636,0.0323152,0.030544,0.0328859,-0.0001141,0.0231221,0.0313149,0.01362645,-0.0054195,0.0302798,0.0130657,0.0145885,-0.0060381,0.0272745,0.00629616666667,0.0333566,-0.021816,0.030243,0.0234927,0.0770476833333,0.0034326,0.0264721
0.0001063,0.0614417833333,0.0039319,0.0420548,0.0442522,0.0393280333333,0.0094399,0.0357334,0.0372802,0.0904904666667,0.0006407,0.0356773,0.03379095,0.0838673,0.0105265,0.0350992,0.0125034666667,0.05887155,0.0066764,0.0343862,0.0171785,0.0488154333333,-0.004499,0.0343581,0.0465127166667,0.0281033333333,0.0054509,0.0410198,0.0184878666667,0.06313405,0.0062842,0.0384636,0.0156853666667,0.0483936666667,-0.0076179,0.0350771,0.0292017,0.0393660833333,0.0125702,0.035199,0.0176818333333,0.0507235666667,0.006052,0.0324586,0.0125561666667,0.0314668666667,0.0012466,0.0303698,0.0282568,0.0863375333333,-0.0087889,0.0353351,0.01531565,0.0646535,0.0008417,0.0380162,0.04676525,0.0569294,-0.0082944,0.0319236,0.0176646,0.0325043666667,-0.0095624,0.0322087,0.04118345,0.0275741666667,0.0080739,0.0340552,0.00729926666667,0.022001,0.0167808,0.034059,-0.00440823333333,0.0538242,0.0141459,0.0342137,0.0373706666667,0.0404787666667,-0.0034836,0.0356434,0.0163865,0.0589412,0.0115278,0.0308476,0.0146594666667,0.05706525,0.0017439,0.036846,0.0198903166667,0.0502801333333,0.0035923,0.0284454,0.0149696833333,0.0440299166667,-0.0086728,0.0277938,0.0367232666667,0.0957495333333,-0.0002726,0.0399022,0.0219765,0.0424529,0.0184713,0.0354438,0.0191383,0.0374745666667,0.0072114,0.0361477,0.0281966,0.0197815333333,-0.0056448,0.032876,0.0100293,0.0491370666667,-0.0130481,0.0347352,0.0351690333333,0.08955155,0.0085768,0.0311282
0.005934,0.0738559666667,0.012889,0.0438446,0.0331772,0.0674319666667,0.0315187,0.042948,0.0154454333333,0.0980322333333,0.0015723,0.0412071,0.0238027833333,0.1073025,0.0210164,0.0414126,0.0146659666667,0.0606247666667,0.0274764,0.0339554,0.0048922,0.0623780666667,0.0169911,0.0393794,0.0366732866667,0.0411688333333,0.0194061,0.0444466,0.0244839333333,0.0588396,0.0110097,0.0432518,0.0151038333333,0.0516923166667,0.0122975,0.0390808,0.0643757666667,0.0534704333333,0.0316453,0.0409736,0.0404377,0.0720415666667,0.0134207,0.0385426,0.0324672,0.053984,0.0122349,0.0346796,0.0349428333333,0.0944451,0.0123332,0.0417158,0.04333,0.07675565,0.0103861,0.0435264,0.03369765,0.0783490833333,0.0114198,0.0389354,-0.00517215,0.0447102333333,0.0182168,0.0386479,0.0288508333333,0.0215061666667,0.0219791,0.0412776,0.0205462333333,0.0417797,0.0229525,0.0431502,0.00219086666667,0.0782067,0.0302393,0.042988,0.04183555,0.0465320666667,0.01907505,0.0407542,0.0380993,0.0688781,0.0239561,0.0403992,0.0032238,0.0888702166667,0.0170879,0.0414448,0.02337905,0.0565374666667,0.0172004,0.0402922,0.0297225666667,0.0802314833333,0.0108474,0.0339678,0.0260258,0.12448812,0.0170315,0.0448194,0.0237758,0.0567048333333,0.0253645,0.0404388,0.0375378,0.0435392,0.0213844,0.0393602,0.0412648333333,0.0315838666667,0.0154441,0.0404438,0.0286896,0.0690854666667,-0.0057618,0.043213,0.0322205333333,0.104271033333,0.0237689,0.0396228
0.0239374,0.0936367,0.0276241,0.0475596,0.0376933333333,0.0975327333333,0.0406341,0.0445856,0.0452236,0.119730066667,0.0257731,0.0477335,0.0266810166667,0.0986417333333,0.0350659,0.0456498,0.0194620666667,0.0769705666667,0.0460588,0.0437976,0.02211332,0.0803419,0.0473442,0.0425294,0.05584432,0.0643438666667,0.0413456,0.0456956,0.0138433333333,0.0981650666667,0.0292878,0.0467184,0.0153632666667,0.067449,0.0243058,0.043192,0.0862289266667,0.0638081833333,0.0422062,0.0429922,0.0331895333333,0.1001307,0.02803,0.0423948,0.0338546,0.0807766666667,0.0320096,0.0414596,0.05261505,0.1018863,0.0226964,0.0470118,0.06665252,0.1204894,0.0338932,0.044912,0.0620034033333,0.0899489,0.0338109,0.0416508,0.018414,0.0552940666667,0.030886,0.045874,0.0321908,0.0598998166667,0.034471,0.0440946,0.0130875833333,0.0621534666667,0.0404931,0.0463178,0.00654483333333,0.0922286,0.0435643,0.0452886,0.0614857833333,0.0846307666667,0.03848195,0.0449272,0.0418436,0.07278615,0.0404809,0.0473174,0.00278703333333,0.111562533333,0.0345761,0.0423674,0.0254586533333,0.0616138,0.0322113,0.0439084,0.0363222333333,0.0886346666667,0.0362681,0.0405838,0.0414625166667,0.133710383333,0.0317692,0.047726,0.02901135,0.09735874,0.0389799,0.0436434,0.0491026666667,0.0724841,0.035345,0.044988,0.03348075,0.0584688,0.0344604,0.0442622,0.0224509833333,0.1095191,0.0146505,0.0458076,0.0324413333333,0.130262066667,0.0437933,0.0394064
0.0316435666667,0.106008033333,0.0453325,0.048916,0.06315435,0.111261666667,0.0488614,0.0480122,0.0587365833333,0.133657433333,0.0362377,0.0473093,0.0320856833333,0.107769766667,0.0436774,0.0504122,0.0039988,0.11781385,0.0495112,0.0481118,0.0412138866667,0.0964999,0.0551023,0.0442558,0.0467453866667,0.0835149333333,0.048172,0.0488826,0.0167533666667,0.11068985,0.039459,0.0489012,0.0193052333333,0.105219466667,0.0480467,0.0470868,0.0551173666667,0.0831513,0.0580083,0.0464708,0.0563822166667,0.115479116667,0.0498939,0.0463194,0.0303793666667,0.106094466667,0.0448677,0.0467004,0.0577476,0.125368966667,0.0336603,0.0474372,0.0363942833333,0.122414866667,0.0496976,0.0463538,0.0875230833333,0.105737833333,0.0491365,0.0451482,0.0243826666667,0.0552756,0.0486719,0.0505104,0.0455128166667,0.0763457833333,0.0429678,0.0469716,0.0227492666667,0.0796892,0.0548059,0.0474476,0.01036255,0.113375166667,0.0579663,0.0468984,0.0759423666667,0.123738566667,0.0545384,0.0480522,0.0370859833333,0.08852315,0.0511946,0.0485776,0.0244432,0.151342933333,0.0465134,0.047709,0.0452807733333,0.0896736333333,0.0441721,0.047492,0.0428616833333,0.100330233333,0.0423987,0.0455802,0.0314048833333,0.131867816667,0.0466373,0.050104,0.0603940333333,0.12589444,0.0473942,0.0461458,0.0594007333333,0.115442016667,0.0511487,0.0470494,0.0348882833333,0.11104712,0.0494841,0.04573,0.0372771333333,0.128393166667,0.0374419,0.04762,0.0462077666667,0.144517333333,0.0548909,0.0459166
0.0595987166667,0.0917875333333,0.0607644,0.0488018,0.0643208333333,0.151621366667,0.0616237,0.0503812,0.0688479666667,0.168162466667,0.0517481,0.0491376,0.0242984833333,0.132668916667,0.0546614,0.0503248,0.01538975,0.15948765,0.0592879,0.0505676,0.0691331333333,0.1030628,0.0637921,0.0475412,0.06090717,0.0927259666667,0.066793,0.0480898,0.0336463666667,0.120565916667,0.0538345,0.0493312,0.00861965,0.109839933333,0.0652667,0.047735,0.0591776666667,0.12251445,0.067119,0.0483424,0.0781797,0.14260455,0.0575103,0.0481924,0.0247342333333,0.100798533333,0.0621934,0.0464536,0.0639386,0.1320724,0.0569089,0.0490322,0.0247221833333,0.144979666667,0.0594512,0.0493689,0.0962358166667,0.127412866667,0.0588768,0.0487896,0.0339383,0.0748909333333,0.061783,0.0491258,0.0613739,0.0948088,0.0567419,0.049509,0.0395918633333,0.1167278,0.0719727,0.0488932,0.03213085,0.130523016667,0.0705577,0.0497642,0.07196805,0.133785783333,0.0640416,0.0496458,0.0493701166667,0.112189536667,0.0667645,0.047436,0.048912,0.1569392,0.0641541,0.0486374,0.0408911233333,0.0981800333333,0.0597392,0.0475636,0.02765685,0.129895033333,0.0580326,0.0463811,0.0460899166667,0.166783333333,0.0602623,0.0498464,0.07628365,0.152254633333,0.0582963,0.0493678,0.0772684166667,0.13103205,0.0627425,0.04779,0.0325408233333,0.13638372,0.0646156,0.047833,0.0319917666667,0.1433531,0.047432,0.0497342,0.05314342,0.160597533333,0.0646654,0.0487348
0.0601328833333,0.116109586667,0.0761122,0.0500338,0.0664738833333,0.157992,0.0721717,0.0505742,0.0945330333333,0.1925786,0.064218,0.0505269,0.03726465,0.159830316667,0.0747512,0.0507394,0.028345,0.172419366667,0.0676754,0.050328,0.0746223166667,0.1336907,0.0789589,0.0489674,0.0695255,0.120517383333,0.0773168,0.0490456,0.0594627166667,0.1400753,0.0688893,0.0498758,0.0298045666667,0.124962766667,0.0713273,0.0490816,0.0633774,0.147411366667,0.0779617,0.0501462,0.0767160333333,0.1432293,0.0752112,0.0491692,0.0500684,0.123892683333,0.0760418,0.0502702,0.0653945266667,0.162145833333,0.0662868,0.0500556,0.0575261833333,0.1556025,0.0738171,0.0489925,0.09651285,0.13842215,0.0684676,0.0497208,0.0456277666667,0.100052866667,0.072305,0.0492894,0.0484303666667,0.129284633333,0.0697479,0.0493684,0.05147794,0.140816433333,0.0750445,0.049467,0.0493629,0.146096916667,0.0780681,0.051052,0.0886136,0.1358207,0.0762098,0.0512816,0.06241455,0.14165455,0.0756641,0.0482002,0.0592725666667,0.1734461,0.0702037,0.0497464,0.0520492266667,0.101590316667,0.0693226,0.0503524,0.0639015566667,0.133501916667,0.0689662,0.0499571,0.02588372,0.168973433333,0.074827,0.0501368,0.0808732166667,0.1533084,0.0736136,0.0496538,0.0807252333333,0.14359825,0.0759247,0.04923,0.05547725,0.141986466667,0.0727702,0.047807,0.0463363333333,0.1486745,0.0650198,0.0507488,0.0443354866667,0.1773191,0.0725018,0.049776
0.0678917,0.1452011,0.0810453,0.0511652,0.08366095,0.172248483333,0.078073,0.050574,0.0970493,0.211327633333,0.0760408,0.0505358,0.0402926666667,0.1800038,0.0817266,0.050803,0.0449650833333,0.1894643,0.0783822,0.0517884,0.0703962666667,0.147810716667,0.085202,0.0490024,0.0579642333333,0.125515533333,0.0831356,0.0501656,0.0772582666667,0.16206085,0.0769734,0.0504416,0.0587377666667,0.13682095,0.0833974,0.0486416,0.0750292833333,0.163382983333,0.0820515,0.0499478,0.0792910333333,0.164044333333,0.0821687,0.0498226,0.06527785,0.146438783333,0.0795702,0.049286,0.0695736766667,0.162498033333,0.0773769,0.0506182,0.0768680366667,0.181179,0.0805015,0.0500986,0.108455366667,0.157150616667,0.0755166,0.0496374,0.0558433166667,0.128695233333,0.0812626,0.0497748,0.0699558166667,0.118734733333,0.0777842,0.049176,0.0501866533333,0.158132066667,0.082191,0.0491674,0.0513406,0.1635245,0.0850639,0.0506924,0.0986005666667,0.143423766667,0.0827098,0.0506896,0.0797312666667,0.168505083333,0.0820504,0.0492184,0.0762124,0.1617353,0.0810184,0.0505154,0.0701188866667,0.125463383333,0.0791368,0.0502652,0.0815527666667,0.179781383333,0.0774228,0.0504226,0.05524005,0.177854466667,0.0793312,0.0507434,0.0694294166667,0.171495433333,0.078248,0.0504282,0.0840848,0.150197,0.0837412,0.0496504,0.0601926666667,0.181541133333,0.0817176,0.0486748,0.0509141666667,0.17052297,0.0744466,0.0503628,0.0497738333333,0.1864147,0.0823257,0.0511828
