0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
0.0125044,0.0308594,0.0086585,0.0105862,0.0187627,0.0078477,0.0068265,0.0390908,0.0023467,0.0183742,0.0220132,0.024509,0.0167785,0.0089847,0.0324642,0.0229566,0.0167877,0.0076587,0.0188744,0.0095266,0.0178314,0.0038762,0.0232603,0.0101224,0.0150465,0.0224416,0.031704,-0.011967,0.0238912,-0.0001049,0.0266098,0.0262451,0.0321927,0.0002119,0.01896365,0.021789,0.0108278,0.0261803,0.004446,0.0250883,0.0105304,0.000665,0.0288598,0.021568,0.0026553,0.0246812,0.0344552,0.0191173,-0.0003967,0.0091317,0.0126787,0.0201644,0.0143678,0.0333595,0.007667,0.0239387,0.0055117,0.0235865,0.0076475,0.0044589,0.0091874,0.0241617,0.01374625,0.0079459,0.0175927,0.0063408,0.0231158
-0.0083188,0.0135258,0.0006936,0.0002186,-0.0061252,-0.0074047,-0.0111982,0.0061653,-0.012329,0.0066398,0.0037833,0.0136302,0.0045626,-0.01635,-0.0047031,0.0029434,0.0045479,-0.013453,0.00097925,-0.0045871,-0.0018739,-0.0050142,-0.0002284,-0.0002472,0.0080677,-0.0056844,-0.0049354,-0.015848,0.0005751,0.001318,0.00141495,-0.0043105,0.0124472,-0.0144633,0.0084666,0.0082893,-0.0123429,0.0119443,-0.0110013,0.000757,-0.0014024,-0.0135077,0.009924,-0.0023927,-0.0113236,0.0003357,0.0081372,0.006039,-0.0266792,0.0137789,-0.00915045,0.0069513,-0.0091989,0.016509,-0.0090346,0.0002105,-0.0100584,0.0013892,-0.0123544,-0.0103083,0.0068291,0.0164616,-0.01219075,0.0048071,0.0028681,-0.0091516,0.0161906
-0.0096398,-0.012014,-0.0205817,-0.0084376,-0.0162599,-0.0181035,-0.0152986,-0.0178607,-0.0192009,-0.0057544,-0.0043817,0.0115105,-0.0137174,-0.0229058,0.0040554,-0.0045565,0.0041216,-0.0153251,-0.01631035,-0.0046103,-0.0042059,-0.0087748,-0.0129976,-0.01089605,0.0020204,-0.0028642,-0.019203,-0.0178544,-0.0125264,-0.0040568,0.00396985,-0.0141762,-0.011564,-0.0199178,-0.00928975,0.0012524,-0.0146084,-0.0092396,-0.0200553,-0.0122748,0.0073608,-0.0190037,-0.0111043,-0.0044778,-0.0077119,-0.0146986,-0.0076011,0.0072137,-0.0322926,0.0035841,-0.00495845,0.0037859,-0.00157175,0.0018491,-0.0098778,-0.0074594,-0.0156205,-0.0068359,-0.0221073,-0.0183889,-0.0018875,0.0105112,-0.01761265,-0.0012652,-0.010579,-0.0017778,-0.00333
-0.0005074,-0.0202166,-0.0145416,0.0052831,-0.018421,-0.0160962,-0.0074897,-0.0250772,-0.01085675,-0.0063352,-0.0147145,0.0144295,-0.0101024,-0.0192602,0.0002533,8.11e-05,-0.0024041,-0.0371093,-0.0044589,-0.0089486,-0.0081595,-0.0093212,-0.0184937,-0.0146643,-0.0047952,0.0040518,-0.0234533,-0.0150551,-0.0205915,-0.0094184,0.0024157,-0.012028,-0.0057873,-0.0084674,0.00339625,-0.00680025,-0.0091687,-0.0088408,-0.0142628,0.0003349,0.00387468,-0.0188217,-0.0103203,0.0023719,-0.0011026,0.00237535,-0.0079279,0.0136701,-0.0327187,0.008429,-0.00718255,0.0055645,-0.01164945,-0.0113053,0.0001677,-0.0111211,-0.0106392,-0.0046088,-0.02588745,-0.018971,0.0117757,0.00795505,-0.01062235,-0.0209078,-0.0162169,-0.0094329,-0.0025044
0.003565,-0.01170775,-0.0047971,0.01201085,-0.0065718,-0.0190872,-0.0058525,-0.0195061,-0.0105864,-0.0044949,-0.0098851,0.0190249,-0.0246546,-0.01707024,0.0047686,0.0097754,-0.0002905,-0.0366787,-0.0036599,-0.0109444,-0.0098174,0.0069662,-0.0137016,-0.0057548,-0.0019355,0.0282357,-0.0285414,-0.002793,-0.0274547,-0.0034212,-0.0049478,-0.0136794,0.0046375,-0.00796945,0.0089124,-0.0126345,0.0045782,-0.0112626,-0.0110123,-0.0091043,0.00289925,-0.0052539,-0.01791235,-0.004537,0.0021943,0.02129695,0.00491495,0.0181231,-0.024799,0.001817,-0.0023374,-0.0011687,-0.00185795,-0.0255651,-0.0080255,-0.0061086,-0.0112589,0.0159164,-0.00531675,-0.038342,0.0015648,-0.0048616,-0.00896675,-0.0009858,-0.0100945,-0.0192202,-0.0094295
0.0119394,-0.01912255,0.0085635,-0.00877505,0.00780155,-0.0093552,0.0013494,-0.0173749,-0.0146538,-0.0070635,-0.01208675,0.0150203,-0.0113484,-0.00676434,-0.00076,0.0154982,0.0009439,-0.0298516,-0.00353275,-0.011494,-0.015729,0.01596,-0.00632345,0.0005752,-0.005427,0.0336895,-0.0224563,0.0062603,-0.0176199,-0.0090206,0.0141649,-0.02100945,0.003911,-0.00845245,0.0051069,-0.0117284,0.0044194,-0.011866,-0.008467,-0.0214903,0.00641365,-0.0019032,0.0039004,-0.0002895,-0.0084585,0.0061964,0.01179955,0.0187041,-0.024801,0.0081683,0.0017078,-0.0047808,-0.0026357,-0.0195623,0.0052226,-0.0165161,-0.0062048,0.0060868,-0.00578355,-0.0327124,-0.00400095,-0.007201,0.00304435,-0.0013131,-0.0203867,-0.0274447,-0.0021718
0.0134965,0.00204215,0.0085078,0.0087446,0.01912425,-0.0043068,0.0035407,-0.0093324,-0.00424565,-0.0204627,-0.0089159,0.01228485,-0.00264335,-0.00208815,0.0008191,0.0300015,0.0070398,-0.0165413,0.0015618,0.00219815,0.0106287,0.01566765,-0.0051885,0.00073075,-0.0176328,0.0325881,-0.0221601,0.0067409,-0.0089251,0.0022887,0.0255036,-0.01963255,0.0014625,-0.00628475,0.0155403,0.0046115,-0.0048132,0.0005778,-0.0021271,-0.0039831,0.00107655,0.0199336,-0.0038497,-0.0050524,-0.0026674,0.00680855,0.02131515,0.024217,-0.00848605,0.0034038,-0.0029766,-0.0138163,0.00825025,-0.008067,0.0018235,-0.0219448,0.0004016,0.0278802,0.00967445,-0.0118611,-0.0041946,-0.0081942,0.00298015,0.0045191,-0.0247488,-0.0257986,0.0005734
0.0112731,0.0154559,0.0145102,0.01352905,0.0077707,0.00439725,0.0067139,-0.0012292,0.0044983,-0.0064108,0.0068432,-0.0165303,0.01236265,0.002663,0.0053517,0.03969991,0.0110837,-0.00309872,-0.004087,0.00975206,0.0172687,0.021018,-0.00153494,0.02021155,-0.0195875,0.03782985,-0.00665755,0.010549,-0.0015404,0.001894,0.0151074,-0.0024532,0.003234,0.00450105,0.0321382,-0.00168755,0.0042534,0.0071834,0.0068013,-0.0012131,-0.00153465,0.0211516,-0.01401225,0.0131949,-0.0040568,0.0129761,0.0239905,0.0224494,-0.0023681,0.0188739,0.0035551,-0.0072621,0.014039,-0.01274415,0.0093108,-0.0011503,0.0067287,0.0279151,0.0052619,-0.0057714,0.0039912,-0.0187573,0.00173505,0.0146075,-0.0210858,-0.033605,0.00814035
0.02515325,0.0217584,0.0243035,0.02392995,0.0151529,-0.00250035,0.0168774,0.01191125,0.012417,-0.0113316,0.00746105,-0.0050858,0.014429,0.0121189,0.0051959,0.03029096,0.0168282,0.00622,-0.0087654,0.01561856,0.0286839,0.01377945,-0.00102065,0.02923375,-0.0057896,0.0383918,-0.00081085,0.0201124,0.0087108,0.0111532,0.0279115,-0.00283775,0.0309822,0.0074761,0.0454547,0.00128765,0.0097299,0.0093079,0.01622815,0.0093334,0.0003947,0.0228735,-0.0113012,0.0246421,0.0052996,0.0244259,0.0216619,0.0293994,0.00976755,0.0046972,0.0152816,-0.0017661,0.0272863,-0.0128676,0.0110694,-0.0017983,0.0067176,0.0241105,0.01081755,0.0054946,0.0099231,-0.0054899,0.00298385,0.0142423,0.0093683,-0.034374,0.0082001
0.01826675,0.0198767,0.03427035,0.01938195,-0.0018181,0.01207125,0.0183772,0.00964045,0.0102381,-0.0162474,0.0198789,0.0034108,0.02913555,0.0248376,0.0106719,0.04060411,0.0149961,0.0118569,0.0139669,0.0237241,0.0327309,0.01751135,0.01691745,0.02722315,0.0078615,0.0413539,0.0179428,0.0288679,0.0103753,0.02932815,0.0438487,0.00608985,0.0415198,0.0187338,0.0368415,0.01979575,0.0104268,0.0189065,0.0213265,0.0188664,0.0175285,0.026161,0.0036479,0.0264349,0.0190557,0.0185832,0.01043635,0.0150396,0.0015608,-0.0003757,0.0195421,0.0098176,0.0362811,-0.0051532,0.0081956,0.002589,0.0258768,0.0314326,0.01172455,0.0153796,0.0140619,0.002312,0.0079419,0.0290132,0.0134573,-0.0163031,0.0068289
