Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
16,48.28,2.8999999999999999,0.5750914270911344
13,15.56,4.5,0.9058494448429666
17,17.0,100.0,23.230890282516803
1,50.0,Discrete,Discrete
