Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
11,['2'],0,2, , , , 
13,"[0.5, 1.3999999999999999]",0,2,0.7941,0.9643,17.6002,0.3913
1,['1'],0,1, , , , 
18,['2'],0,1, , , , 
17,"[29.0, 46.0]",0,1,0.8,1.0,41.059,0.4738
