Rule_Obj,Rule_Score
"[['sex', 'age', 'ph-ecog'], [['1'], [54, 82], ['0.0', '3.0', '1.0', '2.0']]]",0.636739581159487
"[['sex', 'age'], [['1'], [51, 77]]]",0.635154412483345
"[['ph-karno'], [[50.0, 80.0]]]",0.619968295296113
"[['sex', 'pat-karno'], [['1'], [50.0, 90.0]]]",0.6053471756125467
"[['age'], [[42, 64]]]",0.6023711770589213
"[['ph-ecog', 'age'], [['0.0', '1.0', '2.0'], [57, 70]]]",0.5896197171314584
"[['sex', 'ph-ecog'], [['1'], ['2.0', '3.0', '1.0']]]",0.5710893874612681
"[['age', 'ph-karno', 'ph-ecog'], [[64, 76], [50.0, 100.0], ['3.0', '1.0', '0.0', '2.0']]]",0.5565178651626332
"[['ph-karno', 'sex'], [[90.0, 100.0], ['1', '2']]]",0.5358080113141209
"[['sex', 'pat-karno', 'ph-ecog'], [['1', '2'], [80.0, 90.0], ['1.0', '3.0', '0.0']]]",0.5272417894691521
