Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
7,['0'],0,0,0.799,0.9301,315.9046,0.7153
7,['1'],0,1,0.9251,0.7867,323.726,0.7153
