metric,mean,std,mean±std,min,max,median
exceptionality,0.9667,0.0606,0.9667±0.0606,0.8000,1.0000,1.0000
#sg,10.0000,0.0000,10.0000±0.0000,10.0000,10.0000,10.0000
length,1.9933,0.1015,1.9933±0.1015,1.8000,2.2000,2.0000
sgCov,0.5483,0.0187,0.5483±0.0187,0.4818,0.5715,0.5518
setCov,0.9713,0.0489,0.9713±0.0489,0.7664,1.0000,0.9927
description redundancy,0.2364,0.0545,0.2364±0.0545,0.1556,0.3889,0.2333
coverage redundancy,0.6656,0.0580,0.6656±0.0580,0.5774,0.7977,0.6564
CR,0.5013,0.0209,0.5013±0.0209,0.4331,0.5296,0.5049
model redundancy,0.5081,0.1781,0.5081±0.1781,0.2889,1.0000,0.4444
