Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
8,['WOOD'],0,WOOD, , , , 
10,['S'],0,WOOD,1.0,1.0,60.5072,0.5126
7,['THROUGH'],0,SUSPEN, , , , 
1,"['48', '30', '25', '28', '26', '6', '1', '3', '27']",0,SUSPEN,1.0,0.4074,30.0872,0.3094
5,"['?', '2']",0,SIMPLE-T, , , , 
3,"['RR', 'HIGHWAY']",0,SIMPLE-T, , , , 
6,['G'],0,SIMPLE-T,0.8864,0.7222,43.1985,0.6258
10,"['F', 'S']",0,ARCH, , , , 
1,"['1', '40', '3', '29', '42', '7', '44', '30', '32', '38', '52', '24']",0,ARCH, , , , 
8,['STEEL'],0,ARCH, , , , 
9,"['LONG', 'MEDIUM']",0,ARCH,1.0,0.7647,47.5859,0.4119
2,"['MATURE', 'MODERN']",0,CANTILEV, , , , 
4,"['MEDIUM', 'LONG']",0,CANTILEV, , , , 
1,"['34', '2', '20', '48', '1', '5', '43', '46', '49', '19']",0,CANTILEV,1.0,0.9167,47.9277,0.3681
3,['RR'],0,NIL, , , , 
0,['A'],0,NIL, , , , 
2,['MATURE'],0,NIL, , , , 
7,['?'],0,NIL,1.0,1.0,9.3269,0.0374
1,"['37', '14', '39.5', '33', '9', '47', '11', '22', '38.5']",0,CONT-T, , , , 
8,['STEEL'],0,CONT-T, , , , 
5,"['4', '2']",0,CONT-T,1.0,0.7143,40.4876,0.3275
