Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
10,['S'],0,WOOD, , , , 
8,['WOOD'],0,WOOD,1.0,1.0,60.5072,0.5126
7,['THROUGH'],0,SUSPEN, , , , 
1,"['27', '26', '25', '1', '30', '6', '28', '48', '3']",0,SUSPEN,1.0,0.4074,30.0872,0.3094
5,"['2', '?']",0,SIMPLE-T, , , , 
3,"['RR', 'HIGHWAY']",0,SIMPLE-T, , , , 
6,['G'],0,SIMPLE-T,0.8864,0.7222,43.1985,0.6258
1,"['7', '24', '40', '30', '29', '44', '3', '38', '52', '1', '42', '32']",0,ARCH, , , , 
8,['STEEL'],0,ARCH, , , , 
9,"['LONG', 'MEDIUM']",0,ARCH,1.0,0.7647,47.5859,0.4119
4,"['MEDIUM', 'LONG']",0,CANTILEV, , , , 
2,"['MATURE', 'MODERN']",0,CANTILEV, , , , 
1,"['48', '2', '34', '1', '46', '19', '49', '43', '20', '5']",0,CANTILEV,1.0,0.9167,47.9277,0.3681
1,['39'],0,NIL, , , , 
5,['?'],0,NIL, , , , 
3,['RR'],0,NIL,1.0,1.0,9.3269,0.0374
1,"['39.5', '11', '38.5', '22', '47', '33', '9', '14', '37']",0,CONT-T, , , , 
8,['STEEL'],0,CONT-T, , , , 
9,"['LONG', 'MEDIUM']",0,CONT-T,1.0,0.7143,40.4876,0.3275
