0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.0191208,0.0069776,0.0061306,0.017072,0.006255,0.0178504,0.0064728,0.0184242,0.0066118,0.017865,0.0190756,0.0055314,0.0073848,0.0191438,0.0065472,0.0189534,0.006362,0.0065024,0.0186684,0.0058408,0.0066872,0.0184334,0.0056954,0.0061178,0.0188032,0.0067332,0.0185994,0.0067924,0.0185228,0.0072672,0.0056856,0.019198,0.0056598,0.0183308,0.0068026,0.0189328,0.006945,0.0184068,0.0055894,0.018314,0.0194094,0.0063078,0.0203084,0.0063554,0.0061672,0.0184114,0.0059508,0.0190046,0.0053088,0.0183292,0.006275,0.0189468,0.0065302,0.0181652,0.0062356,0.0061198,0.0185198,0.0187842,0.0065736,0.0183576,0.007018,0.0189768,0.006303,0.017892,0.007111,0.0181942,0.0184842,0.0055348,0.0065774,0.0189584,0.0068402,0.0066918,0.0187224,0.0174112,0.0056754
0.0193264,0.0073696,0.006735,0.016451,0.007102,0.0181588,0.0074514,0.0188314,0.006825,0.0179464,0.0195368,0.0062362,0.008361,0.0192808,0.0074662,0.0191738,0.0068156,0.007576,0.0190002,0.0068578,0.0073348,0.0189162,0.0067146,0.0069636,0.0189724,0.0077178,0.018311,0.0067902,0.0193874,0.0071974,0.0067054,0.019181,0.006427,0.0183918,0.0072708,0.0197456,0.0079014,0.0192762,0.006276,0.018018,0.0198548,0.0072068,0.0206588,0.007123,0.0073238,0.018963,0.0065608,0.0192694,0.0062474,0.0188798,0.0066,0.0193604,0.007484,0.0180814,0.0074226,0.0070174,0.0190168,0.0190464,0.0078194,0.01902,0.007525,0.0191368,0.0074826,0.0186636,0.0073372,0.0182712,0.0187866,0.0062934,0.0079846,0.0184956,0.007738,0.007361,0.018619,0.0175184,0.0069178
0.0188504,0.0073436,0.0074716,0.0171138,0.0073576,0.0180198,0.007454,0.018579,0.0075808,0.0182996,0.0200618,0.0072518,0.0081376,0.0197648,0.0078194,0.019072,0.0073924,0.008238,0.0192718,0.00716,0.0078156,0.0193318,0.007122,0.0076084,0.018645,0.008641,0.0192816,0.0074848,0.0194828,0.0070086,0.0069674,0.0196206,0.0077394,0.0184412,0.0080412,0.0197986,0.0081312,0.0190726,0.0062114,0.0183898,0.0203542,0.0075588,0.0206396,0.0083274,0.0083862,0.0193136,0.0084126,0.0187994,0.0068144,0.0191188,0.0071102,0.0195396,0.0082288,0.018742,0.0088438,0.0076856,0.0195276,0.0189922,0.0080904,0.0193748,0.0075582,0.0196304,0.0085714,0.0188008,0.007875,0.0183652,0.019195,0.0068748,0.0082536,0.0189444,0.008294,0.0083746,0.0191714,0.0177562,0.0068438
0.0187278,0.008482,0.0075882,0.0174632,0.007728,0.0185358,0.0081548,0.0186984,0.0077478,0.018819,0.0198318,0.007492,0.0083898,0.0200086,0.0086618,0.018756,0.0085394,0.0084012,0.019311,0.0080082,0.0087244,0.0191672,0.0079834,0.0079468,0.0186152,0.0079392,0.0189342,0.0074622,0.0196876,0.007544,0.0075696,0.0197282,0.0076582,0.018935,0.0082704,0.0202124,0.0082764,0.0189018,0.0069224,0.018827,0.020504,0.008582,0.0210076,0.0090008,0.0086302,0.0189042,0.0093008,0.0193664,0.0071664,0.0193766,0.0077298,0.0202302,0.0084294,0.018818,0.0092442,0.0085572,0.0196578,0.0185248,0.0079134,0.0196444,0.0081042,0.0196078,0.0087354,0.0190988,0.008079,0.0188374,0.019322,0.006967,0.0085608,0.0194996,0.00854,0.0089398,0.0196374,0.0183838,0.0073354
0.0192758,0.0091534,0.0078978,0.0177168,0.0081338,0.018796,0.0086972,0.0191716,0.007577,0.0188112,0.020401,0.0077866,0.0089558,0.02086,0.0092762,0.0190372,0.0088906,0.0092388,0.0194288,0.0085412,0.0091834,0.0192066,0.0082728,0.0080978,0.0182188,0.0093858,0.0198018,0.008127,0.0196594,0.0076516,0.0080698,0.0201806,0.008305,0.0195448,0.0083672,0.020117,0.0083256,0.019509,0.0072174,0.018339,0.0213684,0.0091252,0.0210578,0.0098304,0.0094812,0.0192316,0.0098578,0.0200224,0.0078896,0.0194768,0.0076442,0.020124,0.0090056,0.0187868,0.0095926,0.0082868,0.0200628,0.0192424,0.0081022,0.0199562,0.009282,0.0199896,0.009469,0.0190226,0.0091642,0.0194668,0.0189632,0.0075186,0.0087102,0.0195608,0.009223,0.0095622,0.0198834,0.0191312,0.0077396
0.019459,0.0099638,0.0086322,0.0185212,0.0091342,0.0188074,0.0093356,0.0197376,0.008237,0.0191972,0.0206354,0.0083498,0.0092098,0.0212304,0.010298,0.0191956,0.0091252,0.0097252,0.0197174,0.0091894,0.0097364,0.0194338,0.0084192,0.0083546,0.0188724,0.0097064,0.0201894,0.008976,0.019482,0.0078682,0.0084728,0.0207424,0.00911,0.0195894,0.0088934,0.0203822,0.0087086,0.0197976,0.0084234,0.0186914,0.021289,0.0101998,0.0213802,0.0101934,0.0089962,0.0204606,0.0104668,0.0193664,0.0078466,0.0196,0.0084176,0.020867,0.0092922,0.0192974,0.0099342,0.0088832,0.0205282,0.019109,0.0082644,0.020214,0.0094536,0.0197708,0.009831,0.0192516,0.0089332,0.019559,0.0189384,0.0080558,0.0099428,0.0194378,0.0096314,0.0100798,0.0201908,0.0197252,0.0083438
0.0195968,0.0099246,0.0093656,0.0187526,0.0093478,0.019035,0.0100906,0.019864,0.0086928,0.0195996,0.02064,0.0088168,0.0093924,0.0210894,0.0112962,0.019544,0.0096222,0.0101506,0.0201372,0.0091966,0.0097594,0.019101,0.0093332,0.0091652,0.0189742,0.0105452,0.0207846,0.010284,0.0195024,0.0082994,0.009195,0.0210338,0.0092362,0.019792,0.009078,0.02047,0.0093212,0.0195008,0.0086776,0.0179616,0.0219904,0.0098152,0.0217094,0.0109768,0.009497,0.0211374,0.011016,0.019197,0.0082076,0.0198522,0.0088498,0.0211028,0.0096582,0.0191466,0.0102568,0.0092772,0.0203346,0.0198264,0.0088968,0.0206998,0.0103212,0.0196288,0.0098468,0.0198116,0.0098986,0.0198214,0.0195324,0.0098084,0.0104166,0.0202528,0.0104174,0.0107758,0.0209886,0.0196484,0.0087502
0.0198014,0.0107658,0.0096694,0.0188316,0.0100082,0.0189826,0.01058,0.0204408,0.009531,0.0204894,0.0216038,0.0095346,0.0099796,0.0216964,0.011495,0.0196104,0.0105384,0.0104082,0.019893,0.0099866,0.0105196,0.0194292,0.0100522,0.0096176,0.0194768,0.0110998,0.0209706,0.0107152,0.0199802,0.0086622,0.0098536,0.0215384,0.0100318,0.0204274,0.0095754,0.0207794,0.0095784,0.0204394,0.0091674,0.0181374,0.022501,0.0102938,0.0221982,0.0120388,0.010492,0.021306,0.0114264,0.019721,0.0090616,0.0204798,0.0093552,0.0208242,0.0106212,0.0194314,0.011024,0.0098158,0.0210954,0.0200328,0.0096568,0.0211742,0.010818,0.0206134,0.0110176,0.020447,0.0104694,0.019938,0.0198504,0.0101628,0.0115172,0.0204836,0.0107152,0.0113242,0.021462,0.0193782,0.008721
0.0202578,0.0111368,0.0101978,0.0186112,0.0110492,0.01901,0.01205,0.021053,0.0098988,0.0208084,0.0222578,0.0109236,0.0103206,0.0224946,0.0121508,0.020614,0.0115466,0.0111394,0.0204532,0.0104512,0.0114048,0.0201032,0.0100406,0.0094788,0.0202042,0.0116314,0.0206368,0.0109562,0.019886,0.0090766,0.010023,0.0213972,0.0111856,0.020902,0.0102698,0.02085,0.0104982,0.0212702,0.0097184,0.018488,0.0229446,0.0107938,0.0217732,0.012637,0.0108564,0.0214604,0.0118062,0.020294,0.0091642,0.0205734,0.0098612,0.0208016,0.011501,0.0198344,0.0112038,0.0101214,0.021178,0.0208378,0.009359,0.0209276,0.011002,0.020799,0.0114958,0.0208308,0.0102552,0.0199344,0.0207506,0.0103032,0.011566,0.0211662,0.0110644,0.0115658,0.0216526,0.019704,0.0091432
0.0211312,0.012059,0.01008,0.0192984,0.0113452,0.0197468,0.0121662,0.0215164,0.010071,0.0208402,0.022822,0.0111964,0.0107766,0.023392,0.0122184,0.021155,0.0120812,0.0119786,0.0206934,0.0106048,0.0121706,0.0201546,0.011381,0.010025,0.020871,0.011735,0.0209804,0.0108628,0.0205046,0.009704,0.0106546,0.022191,0.0122782,0.0208198,0.010935,0.0213602,0.0112962,0.0220162,0.0106294,0.0183328,0.0234868,0.0116946,0.0216514,0.0134558,0.0114136,0.0211362,0.0127076,0.0205884,0.0102714,0.0205832,0.0102412,0.020996,0.0125812,0.020559,0.0111802,0.0104946,0.0210726,0.0208566,0.009785,0.021044,0.011209,0.0207562,0.0119092,0.021736,0.0114332,0.0200134,0.0209518,0.010719,0.011685,0.0215828,0.0110052,0.0118432,0.0219502,0.0206748,0.0104072
