0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.0887,0.0837,0.0924,0.0849,0.0894,0.1206,0.0663,0.0936,0.1096,0.1215,0.137,0.0731,0.0818,0.1263,0.126,0.1389,0.0846,0.0866,0.1506,0.0846,0.0798,0.1196,0.0625,0.1029,0.1157,0.1251,0.108,0.1741,0.0791,0.0711,0.0779,0.1032,0.075,0.108,0.1357,0.1514,0.0683,0.1341,0.0827,0.1128,0.1379,0.0865,0.1341,0.0865,0.0885,0.0985,0.0885,0.1004,0.1009,0.1109,0.0692,0.1725,0.0855,0.0867,0.1645,0.1077,0.0984,0.0878,0.0759,0.1475,0.0894,0.0897,0.0798,0.0897,0.0827,0.1129,0.1052,0.0875,0.101,0.1109,0.0789,0.0855,0.083,0.0954,0.0654
0.0887,0.0837,0.0924,0.0849,0.0894,0.1206,0.0962,0.0936,0.1096,0.1215,0.137,0.0731,0.0818,0.1263,0.126,0.1389,0.0846,0.0866,0.1506,0.0846,0.0798,0.1196,0.0625,0.1029,0.1157,0.1251,0.108,0.1741,0.1119,0.0711,0.0903,0.1263,0.075,0.108,0.1357,0.1514,0.0702,0.1341,0.0827,0.1128,0.1379,0.0865,0.1341,0.0865,0.0885,0.0985,0.0885,0.1109,0.1009,0.1109,0.0692,0.1725,0.0855,0.0867,0.1645,0.1077,0.1283,0.108,0.0759,0.1475,0.0894,0.0917,0.0942,0.0926,0.0827,0.1129,0.1052,0.0875,0.1077,0.1109,0.0789,0.0855,0.083,0.0954,0.0654
0.0887,0.1222,0.0924,0.1272,0.0914,0.1206,0.0962,0.0984,0.1096,0.1215,0.137,0.0731,0.0818,0.1263,0.126,0.1389,0.0883,0.0894,0.1506,0.0894,0.0798,0.1196,0.0625,0.1029,0.1157,0.1251,0.108,0.1741,0.1119,0.0711,0.0903,0.1263,0.102,0.108,0.1357,0.1514,0.0837,0.1341,0.0827,0.1128,0.1379,0.1135,0.1341,0.0866,0.0885,0.0985,0.1299,0.1109,0.1009,0.1109,0.0846,0.1725,0.0855,0.0867,0.1645,0.1077,0.1283,0.108,0.0759,0.1475,0.0894,0.1022,0.0942,0.1089,0.0827,0.1129,0.1052,0.0875,0.1077,0.1109,0.0818,0.0855,0.0956,0.0954,0.0654
0.0946,0.1222,0.099,0.1272,0.0914,0.1226,0.0962,0.0984,0.1096,0.1215,0.137,0.0789,0.0818,0.1263,0.126,0.1389,0.0883,0.0894,0.1506,0.1087,0.0875,0.1196,0.0654,0.1029,0.1379,0.1251,0.108,0.1741,0.1119,0.0711,0.0903,0.1263,0.102,0.108,0.1357,0.1514,0.0837,0.1341,0.0827,0.1128,0.1379,0.1135,0.1341,0.1048,0.0885,0.0985,0.1299,0.1109,0.1009,0.1109,0.0846,0.1725,0.1107,0.0867,0.1645,0.1077,0.1283,0.108,0.0759,0.1475,0.0894,0.1022,0.0942,0.1089,0.0827,0.1129,0.1052,0.0875,0.1077,0.1109,0.0818,0.0855,0.0956,0.0954,0.0654
0.0946,0.1222,0.099,0.1272,0.0914,0.1226,0.0962,0.1215,0.1096,0.1215,0.137,0.0827,0.0818,0.1263,0.126,0.1389,0.1318,0.0894,0.1506,0.1087,0.0875,0.1196,0.0789,0.1029,0.1379,0.1251,0.108,0.1741,0.1119,0.0711,0.0903,0.1263,0.102,0.108,0.1357,0.1514,0.0837,0.1341,0.0827,0.1128,0.1379,0.1135,0.162,0.1048,0.126,0.1041,0.1299,0.1139,0.1009,0.1109,0.0846,0.1725,0.1107,0.0867,0.1645,0.1077,0.1283,0.108,0.0759,0.1475,0.0894,0.1137,0.0942,0.1089,0.0827,0.1129,0.1052,0.1164,0.1077,0.1137,0.0952,0.0855,0.0956,0.0954,0.0722
0.0993,0.1222,0.099,0.1272,0.1116,0.1226,0.0962,0.1215,0.1096,0.1215,0.137,0.1211,0.0827,0.1263,0.1375,0.1592,0.1318,0.0894,0.1506,0.1087,0.0875,0.1196,0.0789,0.1029,0.1379,0.1251,0.108,0.1741,0.1119,0.0711,0.0903,0.1263,0.102,0.108,0.1357,0.1514,0.0837,0.1341,0.0827,0.1128,0.1379,0.1135,0.162,0.1048,0.126,0.1148,0.1299,0.1139,0.1009,0.1109,0.0924,0.1725,0.1107,0.0867,0.1645,0.1077,0.1283,0.108,0.0759,0.1475,0.0894,0.1137,0.0942,0.1089,0.0827,0.1129,0.1052,0.1164,0.1077,0.1137,0.0952,0.0855,0.0956,0.1379,0.0739
0.1137,0.1222,0.099,0.1272,0.1116,0.1283,0.0962,0.1215,0.1096,0.1215,0.137,0.1211,0.0827,0.1263,0.1375,0.1592,0.1318,0.0894,0.1506,0.1087,0.0875,0.1196,0.0789,0.1029,0.1379,0.1251,0.1254,0.1741,0.1119,0.0711,0.0903,0.1263,0.102,0.108,0.1357,0.1514,0.0837,0.1341,0.0827,0.1128,0.1379,0.1135,0.162,0.1048,0.126,0.1272,0.1299,0.1139,0.1009,0.1311,0.0924,0.1725,0.1107,0.0867,0.1645,0.1077,0.1283,0.108,0.0837,0.1475,0.0894,0.1137,0.0942,0.1089,0.0827,0.1148,0.1581,0.1164,0.1173,0.1572,0.1077,0.0924,0.0993,0.1379,0.0739
0.1137,0.1222,0.099,0.1272,0.1116,0.1283,0.1068,0.1215,0.1096,0.1215,0.137,0.1211,0.0827,0.1263,0.1375,0.1592,0.1318,0.0894,0.1506,0.1087,0.101,0.1196,0.0789,0.1029,0.1379,0.1251,0.1254,0.1741,0.1119,0.0711,0.0903,0.1263,0.102,0.108,0.1357,0.1514,0.0837,0.1341,0.0885,0.1128,0.1379,0.1135,0.162,0.1048,0.126,0.1342,0.1299,0.1283,0.1009,0.1311,0.0924,0.1725,0.1453,0.0867,0.1645,0.1077,0.1283,0.108,0.1471,0.1475,0.1202,0.1137,0.0942,0.1119,0.0827,0.1148,0.1581,0.1164,0.1173,0.1572,0.1077,0.1038,0.1002,0.1379,0.0739
0.1137,0.1222,0.099,0.1272,0.1164,0.1283,0.1124,0.1446,0.1096,0.1215,0.137,0.1414,0.0914,0.1263,0.1375,0.1592,0.1318,0.0894,0.1506,0.1087,0.101,0.1196,0.0789,0.1346,0.1379,0.1251,0.1254,0.1741,0.1119,0.0711,0.0903,0.1263,0.102,0.108,0.1357,0.1514,0.0875,0.1341,0.0885,0.1128,0.1379,0.1355,0.162,0.1048,0.126,0.1342,0.1299,0.1283,0.1009,0.1311,0.0924,0.1725,0.1453,0.0867,0.1645,0.1077,0.1283,0.108,0.1471,0.1475,0.1202,0.1137,0.1403,0.1264,0.0866,0.1148,0.1581,0.1164,0.1173,0.1572,0.1077,0.1203,0.1071,0.1379,0.0739
0.1137,0.1222,0.099,0.1272,0.1164,0.1283,0.1124,0.1446,0.1096,0.1215,0.137,0.1414,0.0914,0.1263,0.1375,0.1842,0.1318,0.0894,0.1506,0.1087,0.101,0.1196,0.0827,0.1346,0.1379,0.1251,0.1254,0.1741,0.1119,0.0894,0.0903,0.1263,0.102,0.1341,0.1357,0.1514,0.0875,0.1341,0.0914,0.1128,0.1379,0.1355,0.162,0.1153,0.126,0.1407,0.1299,0.1283,0.1009,0.1311,0.0924,0.1725,0.1453,0.0936,0.1645,0.1077,0.1283,0.108,0.1471,0.1475,0.1202,0.1137,0.1403,0.1264,0.099,0.1148,0.1581,0.1164,0.1173,0.1572,0.1077,0.1203,0.1071,0.1379,0.1125
