Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
5634,"[6.5, 29.199999999999999]",0,MRI-no-lytic-lesion sample, , , , 
12444,"[5091.1000000000004, 11191.5]",0,MRI-no-lytic-lesion sample,0.75,0.4355,39.8777,0.326
11274,"[41.0, 263.0]",0,MRI-lytic-lesion sample, , , , 
1546,"[26.600000000000001, 139.80000000000001]",0,MRI-lytic-lesion sample,0.5985,0.8913,19.3916,0.2114
