Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
10,"[134.0, 180.0]",0,van, , , , 
0,"[85.0, 100.0]",0,van,0.9246,0.5169,289.6968,0.474
10,"[179.0, 235.0]",0,saab, , , , 
4,"[55.0, 69.0]",0,saab, , , , 
13,"[59.0, 73.0]",0,saab,0.6636,0.5353,211.8885,0.3546
2,"[68.0, 75.0]",0,bus, , , , 
17,"[192.0, 200.0]",0,bus, , , , 
6,"[144.0, 154.0]",0,bus,0.0826,0.7826,39.9925,0.0571
5,"[4.0, 7.0]",1,bus, , , , 
13,"[68.0, 88.0]",1,bus,0.8257,0.5941,300.6894,0.4819
7,"[30.0, 42.0]",0,opel, , , , 
5,"[7.0, 13.0]",0,opel,0.7075,0.4559,179.5532,0.3194
