Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
8171,"[10.6356479147979, 12.325042865151598]",0,BCR/ABL, , , , 
6855,"[4.3944279285633705, 5.0160756585400703]",0,BCR/ABL,0.973,0.5455,45.7183,0.5288
4286,"[3.4392434979472797, 4.1944418591774602]",0,NEG, , , , 
713,"[7.9983604305114007, 9.3814777307196699]",0,NEG,0.8784,0.8125,44.2424,0.5859
7216,"[5.9555557305400395, 6.3525145174537894]",0,ALL1/AF4, , , , 
2576,"[4.92551743237438, 5.6674980601138403]",0,ALL1/AF4, , , , 
7420,"[5.78085651228447, 6.4823822942473797]",0,ALL1/AF4,1.0,0.5556,39.2332,0.2686
11865,"[3.5835016975202101, 3.7466981631076903]",0,E2A/PBX1, , , , 
75,"[3.7229006692466404, 3.8591517561997404]",0,E2A/PBX1, , , , 
2031,"[2.9774527043149401, 3.0900176861147406]",0,E2A/PBX1,1.0,1.0,32.4259,0.1501
6261,"[3.1057885619153196, 3.1057885619153196]",0,p15/p16, , , , 
9913,"[6.3004831305412008, 6.3004831305412008]",0,p15/p16,1.0,1.0,9.7041,0.031
12432,"[3.6135481988067402, 3.6135481988067402]",0,NUP-98, , , , 
7257,"[4.1426975270441497, 4.1426975270441497]",0,NUP-98, , , , 
12261,"[5.4322104200465091, 5.4322104200465091]",0,NUP-98,1.0,1.0,9.7041,0.031
