0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
0.3823,0.1997,0.291,0.1931,0.1177,0.031,0.031,0.2419,0.1978,0.2705,0.1934,0.0916,0.031,0.031,0.2471,0.2607,0.1538,0.1306,0.031,0.031,0.2366,0.2266,0.1416,0.127,0.031,0.031,0.2849,0.2046,0.1538,0.0994,0.031,0.031,0.266,0.2285,0.1392,0.1003,0.031,0.031,0.3157,0.2681,0.1699,0.1086,0.031,0.031,0.3594,0.2266,0.1367,0.127,0.031,0.031,0.2234,0.2427,0.1812,0.1042,0.031,0.031,0.2144,0.2837,0.1943,0.0854,0.031,0.031,0.3059,0.2109,0.1289,0.1221,0.031,0.031,0.2686,0.2604,0.1406,0.144,0.031,0.031,0.3311,0.3599,0.1353,0.1006,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.252,0.3633,0.1533,0.1055,0.031,0.031,0.3352,0.2197,0.1577,0.105,0.031,0.031,0.3171,0.2036,0.1367,0.1135,0.031,0.031,0.2261,0.2373,0.1504,0.1123,0.031,0.031,0.2942,0.1978,0.1724,0.116,0.031,0.031,0.29,0.2661,0.1724,0.103,0.031,0.031,0.2468,0.2773,0.1646,0.1189,0.031,0.031,0.2727,0.2822,0.1313,0.0981,0.031,0.031,0.2671,0.3008,0.1362,0.0916,0.031,0.031,0.2517,0.2939,0.1455,0.0989,0.031,0.031,0.3269,0.2065,0.1411,0.0901,0.031,0.031,0.2678,0.2607,0.1821,0.1553,0.1294,0.031,0.031,0.29,0.2216,0.1792,0.1355,0.031,0.031,0.22,0.2954,0.1455,0.1001,0.031,0.031,0.2275,0.2593,0.1782,0.092,0.031,0.031,0.252,0.2266,0.1699,0.0945,0.031,0.031
0.3823,0.2373,0.291,0.1931,0.1177,0.031,0.031,0.2419,0.1978,0.2705,0.1934,0.0916,0.031,0.031,0.2471,0.2607,0.1538,0.1306,0.031,0.031,0.2366,0.2266,0.1416,0.127,0.031,0.031,0.2849,0.2056,0.1538,0.0994,0.031,0.031,0.266,0.2285,0.1509,0.1079,0.031,0.031,0.3157,0.2681,0.1699,0.1086,0.031,0.031,0.3594,0.2266,0.1367,0.127,0.031,0.031,0.272,0.2871,0.1812,0.1042,0.031,0.031,0.2922,0.2837,0.1943,0.0854,0.031,0.031,0.3059,0.2109,0.1289,0.1221,0.031,0.031,0.2686,0.2604,0.1406,0.144,0.031,0.031,0.3311,0.3599,0.1353,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.252,0.3633,0.1533,0.1062,0.031,0.031,0.3352,0.2202,0.1577,0.105,0.031,0.031,0.3171,0.2036,0.1367,0.1135,0.031,0.031,0.2261,0.2373,0.1504,0.1123,0.031,0.031,0.2942,0.1978,0.1724,0.116,0.031,0.031,0.29,0.2661,0.1724,0.103,0.031,0.031,0.2498,0.2773,0.1646,0.1189,0.031,0.031,0.2727,0.2822,0.1313,0.0981,0.031,0.031,0.2671,0.3008,0.1362,0.1189,0.031,0.031,0.2617,0.4141,0.1455,0.0989,0.031,0.031,0.3269,0.2065,0.1411,0.0901,0.031,0.031,0.2678,0.2607,0.1821,0.1553,0.1294,0.031,0.031,0.29,0.2285,0.1792,0.1355,0.031,0.031,0.22,0.2954,0.1455,0.1001,0.031,0.031,0.2644,0.2593,0.1782,0.092,0.031,0.031,0.252,0.2295,0.1699,0.0945,0.031,0.031
0.3823,0.2373,0.291,0.1931,0.1177,0.031,0.031,0.2419,0.1978,0.2705,0.1934,0.092,0.031,0.031,0.3025,0.2607,0.1538,0.1306,0.031,0.031,0.2366,0.2778,0.1416,0.127,0.031,0.031,0.2849,0.2056,0.1919,0.1306,0.031,0.031,0.266,0.2678,0.1509,0.1209,0.031,0.031,0.3157,0.2681,0.1699,0.1184,0.031,0.031,0.3594,0.2266,0.1367,0.127,0.031,0.031,0.272,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.2837,0.1943,0.0994,0.031,0.031,0.3059,0.2139,0.1289,0.1221,0.031,0.031,0.2686,0.3667,0.1724,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.252,0.4028,0.1533,0.1079,0.031,0.031,0.3352,0.3154,0.1577,0.1135,0.031,0.031,0.3171,0.2036,0.1367,0.1135,0.031,0.031,0.2261,0.2373,0.1504,0.1123,0.031,0.031,0.2942,0.21,0.1724,0.1367,0.031,0.031,0.2949,0.2661,0.1724,0.103,0.031,0.031,0.2498,0.2773,0.1646,0.1189,0.031,0.031,0.2727,0.2871,0.1313,0.1013,0.031,0.031,0.2671,0.3008,0.1416,0.1189,0.031,0.031,0.2617,0.4141,0.1455,0.1062,0.031,0.031,0.3289,0.3149,0.1411,0.1135,0.031,0.031,0.2678,0.2622,0.1821,0.1553,0.1294,0.031,0.031,0.29,0.2656,0.1792,0.1355,0.031,0.031,0.2581,0.2954,0.1455,0.1001,0.031,0.031,0.2644,0.2593,0.1782,0.0994,0.031,0.031,0.2642,0.2295,0.1699,0.1067,0.031,0.031
0.3823,0.2373,0.291,0.1931,0.1177,0.031,0.031,0.2419,0.2358,0.2705,0.1968,0.0994,0.031,0.031,0.3025,0.2607,0.1538,0.1306,0.031,0.031,0.2366,0.2778,0.1416,0.127,0.031,0.031,0.2859,0.2056,0.1919,0.1306,0.031,0.031,0.3137,0.2678,0.1509,0.1209,0.031,0.031,0.3157,0.2681,0.1699,0.1184,0.031,0.031,0.3594,0.23,0.1377,0.127,0.031,0.031,0.272,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.313,0.1943,0.1086,0.031,0.031,0.3059,0.2373,0.1294,0.1221,0.031,0.031,0.3206,0.3667,0.1724,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.252,0.4028,0.1533,0.1079,0.031,0.031,0.3352,0.4014,0.1577,0.1135,0.031,0.031,0.3171,0.2251,0.1367,0.1135,0.031,0.031,0.2769,0.2373,0.189,0.1123,0.031,0.031,0.2942,0.2451,0.1724,0.1367,0.031,0.031,0.2957,0.2993,0.1724,0.103,0.031,0.031,0.26,0.2773,0.1646,0.1189,0.031,0.031,0.2727,0.2871,0.1748,0.1038,0.031,0.031,0.2671,0.3062,0.1416,0.1189,0.031,0.031,0.2617,0.4404,0.1455,0.1091,0.031,0.031,0.3359,0.3149,0.1411,0.1135,0.031,0.031,0.2678,0.2627,0.1865,0.1553,0.1294,0.031,0.031,0.29,0.2656,0.1792,0.1355,0.031,0.031,0.2581,0.2954,0.1455,0.1067,0.031,0.031,0.2693,0.2593,0.1782,0.0994,0.031,0.031,0.2642,0.2295,0.1699,0.1067,0.031,0.031
0.3823,0.2656,0.291,0.1931,0.1177,0.031,0.031,0.2419,0.2358,0.2705,0.1968,0.1165,0.031,0.031,0.3025,0.2607,0.1538,0.1306,0.031,0.031,0.3262,0.2778,0.1509,0.127,0.031,0.031,0.2859,0.2705,0.1919,0.1306,0.031,0.031,0.345,0.2678,0.1509,0.1209,0.031,0.031,0.3503,0.2681,0.1699,0.1184,0.031,0.031,0.3594,0.23,0.1587,0.127,0.031,0.031,0.272,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.313,0.1943,0.1086,0.031,0.031,0.3059,0.2373,0.1597,0.127,0.031,0.031,0.3206,0.3667,0.1724,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.2832,0.4028,0.1538,0.1079,0.031,0.031,0.3352,0.4014,0.1577,0.1135,0.031,0.031,0.3171,0.2251,0.1367,0.1135,0.031,0.031,0.2769,0.2661,0.189,0.1123,0.031,0.031,0.2942,0.2451,0.1724,0.1367,0.031,0.031,0.2957,0.2993,0.1724,0.103,0.031,0.031,0.26,0.2773,0.1646,0.1189,0.031,0.031,0.2727,0.2939,0.1748,0.1038,0.031,0.031,0.2671,0.3062,0.1689,0.1189,0.031,0.031,0.2617,0.4404,0.1455,0.1091,0.031,0.031,0.3359,0.3149,0.1411,0.1135,0.031,0.031,0.2678,0.3076,0.1865,0.1553,0.1294,0.031,0.031,0.29,0.2656,0.1792,0.1355,0.031,0.031,0.2581,0.2954,0.1538,0.1067,0.031,0.031,0.2693,0.2593,0.1782,0.1074,0.031,0.031,0.2783,0.2314,0.1699,0.1067,0.031,0.031
0.3823,0.2661,0.291,0.2061,0.1177,0.031,0.031,0.2419,0.2358,0.2705,0.1968,0.1165,0.031,0.031,0.3025,0.2969,0.1538,0.1306,0.031,0.031,0.3262,0.2778,0.1509,0.127,0.031,0.031,0.2859,0.2705,0.1919,0.1306,0.031,0.031,0.345,0.2678,0.1509,0.1209,0.031,0.031,0.3503,0.3599,0.1772,0.1184,0.031,0.031,0.3594,0.2378,0.1587,0.127,0.031,0.031,0.2761,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.313,0.1943,0.1086,0.031,0.031,0.3059,0.2373,0.1597,0.127,0.031,0.031,0.3206,0.3667,0.1724,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.2832,0.4028,0.1538,0.1079,0.031,0.031,0.3352,0.4014,0.1577,0.1135,0.031,0.031,0.3171,0.2251,0.2227,0.1135,0.031,0.031,0.2769,0.2661,0.189,0.1123,0.031,0.031,0.2942,0.2451,0.1724,0.1367,0.031,0.031,0.3052,0.2993,0.1724,0.103,0.031,0.031,0.26,0.2773,0.1646,0.1189,0.031,0.031,0.2727,0.4072,0.1748,0.1038,0.031,0.031,0.2776,0.3062,0.1689,0.1189,0.031,0.031,0.2617,0.4404,0.1455,0.1111,0.031,0.031,0.3359,0.3149,0.1411,0.1135,0.031,0.031,0.2678,0.3076,0.1865,0.1553,0.1294,0.031,0.031,0.3074,0.2954,0.1792,0.1355,0.031,0.031,0.2581,0.2954,0.1572,0.1067,0.031,0.031,0.2693,0.2593,0.1782,0.1074,0.031,0.031,0.2893,0.2314,0.1699,0.1067,0.031,0.031
0.3857,0.292,0.3057,0.2075,0.1177,0.031,0.031,0.2419,0.2358,0.2705,0.1968,0.1165,0.031,0.031,0.3025,0.2969,0.1538,0.1306,0.031,0.031,0.3262,0.2935,0.1509,0.127,0.031,0.031,0.2905,0.2705,0.1919,0.1306,0.031,0.031,0.5065,0.2678,0.1509,0.1416,0.031,0.031,0.3503,0.3599,0.1938,0.1184,0.031,0.031,0.3594,0.2378,0.1602,0.127,0.031,0.031,0.2908,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.313,0.1943,0.1086,0.031,0.031,0.3059,0.2373,0.1597,0.127,0.031,0.031,0.3206,0.3667,0.1724,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.2832,0.4028,0.1538,0.1091,0.031,0.031,0.3352,0.4014,0.1914,0.1147,0.031,0.031,0.3171,0.2251,0.2227,0.1135,0.031,0.031,0.2769,0.2661,0.189,0.1123,0.031,0.031,0.2942,0.2451,0.1724,0.1367,0.031,0.031,0.3052,0.2993,0.1724,0.103,0.031,0.031,0.2976,0.2773,0.1646,0.1189,0.031,0.031,0.2727,0.4072,0.1748,0.1221,0.031,0.031,0.2776,0.3105,0.1689,0.1189,0.031,0.031,0.2617,0.4404,0.1455,0.1111,0.031,0.031,0.3359,0.3203,0.1772,0.1135,0.031,0.031,0.2795,0.3076,0.1865,0.1553,0.1294,0.031,0.031,0.3088,0.2954,0.1792,0.1355,0.031,0.031,0.2581,0.2954,0.1572,0.1067,0.031,0.031,0.2693,0.2593,0.1782,0.1074,0.031,0.031,0.2893,0.2329,0.1699,0.1257,0.031,0.031
0.3857,0.292,0.3057,0.2075,0.1177,0.031,0.031,0.2512,0.2358,0.3135,0.1968,0.1165,0.031,0.031,0.3025,0.2969,0.1641,0.1306,0.031,0.031,0.3262,0.2935,0.1509,0.127,0.031,0.031,0.2991,0.2876,0.1919,0.1306,0.031,0.031,0.5065,0.2678,0.1509,0.1416,0.031,0.031,0.3503,0.3599,0.2153,0.1184,0.031,0.031,0.3594,0.2378,0.1602,0.127,0.031,0.031,0.2908,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.313,0.1943,0.1086,0.031,0.031,0.3059,0.2393,0.1597,0.127,0.031,0.031,0.3206,0.3667,0.2422,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.2832,0.4028,0.1538,0.1091,0.031,0.031,0.3352,0.4014,0.1914,0.1184,0.031,0.031,0.3171,0.2251,0.2227,0.1135,0.031,0.031,0.2769,0.2661,0.189,0.1123,0.031,0.031,0.2942,0.2451,0.1724,0.1367,0.031,0.031,0.3052,0.2993,0.1724,0.103,0.031,0.031,0.2976,0.3071,0.1646,0.1189,0.031,0.031,0.2727,0.4072,0.1748,0.1221,0.031,0.031,0.3047,0.3105,0.1689,0.1189,0.031,0.031,0.2617,0.4404,0.1455,0.1111,0.031,0.031,0.3586,0.3203,0.1786,0.1135,0.031,0.031,0.2795,0.3076,0.1865,0.1553,0.1294,0.031,0.031,0.3123,0.396,0.1792,0.1355,0.031,0.031,0.2913,0.2954,0.1572,0.1104,0.031,0.031,0.2693,0.2593,0.1782,0.1074,0.031,0.031,0.2893,0.2329,0.1699,0.1257,0.031,0.031
0.3857,0.292,0.3057,0.2075,0.1177,0.031,0.031,0.2512,0.2358,0.3135,0.1968,0.1165,0.031,0.031,0.3123,0.2969,0.1641,0.1306,0.031,0.031,0.3262,0.2935,0.1509,0.127,0.031,0.031,0.2991,0.2876,0.1919,0.1306,0.031,0.031,0.5065,0.2678,0.1509,0.1416,0.031,0.031,0.3503,0.3599,0.2153,0.1184,0.031,0.031,0.3594,0.3184,0.1602,0.127,0.031,0.031,0.2998,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.313,0.1943,0.1086,0.031,0.031,0.3323,0.2505,0.1597,0.127,0.031,0.031,0.3206,0.3667,0.2422,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.2671,0.2744,0.188,0.1165,0.031,0.031,0.2832,0.4028,0.1538,0.1091,0.031,0.031,0.3352,0.4014,0.1914,0.1184,0.031,0.031,0.3171,0.2251,0.2227,0.1135,0.031,0.031,0.2769,0.2661,0.189,0.1123,0.031,0.031,0.2942,0.3018,0.1797,0.1367,0.031,0.031,0.3052,0.2993,0.1724,0.114,0.031,0.031,0.2976,0.3071,0.1646,0.1189,0.031,0.031,0.2727,0.4072,0.1748,0.1221,0.031,0.031,0.3047,0.3105,0.1689,0.1189,0.031,0.031,0.2856,0.4404,0.1455,0.1111,0.031,0.031,0.3586,0.3203,0.1786,0.1147,0.031,0.031,0.2817,0.3076,0.1865,0.1553,0.1294,0.031,0.031,0.3123,0.396,0.1792,0.1355,0.031,0.031,0.2913,0.2954,0.1572,0.1104,0.031,0.031,0.2693,0.2593,0.1782,0.1074,0.031,0.031,0.2893,0.2329,0.1748,0.1257,0.031,0.031
0.3857,0.292,0.3057,0.2075,0.1177,0.031,0.031,0.272,0.2754,0.3135,0.1968,0.1165,0.031,0.031,0.3123,0.2969,0.1641,0.1306,0.031,0.031,0.3262,0.2935,0.1509,0.127,0.031,0.031,0.2991,0.2876,0.1919,0.1306,0.031,0.031,0.5065,0.2856,0.1509,0.1416,0.031,0.031,0.3503,0.3599,0.2178,0.1184,0.031,0.031,0.3594,0.3218,0.2085,0.127,0.031,0.031,0.2998,0.2871,0.1812,0.1079,0.031,0.031,0.2922,0.313,0.1943,0.1221,0.031,0.031,0.3323,0.2505,0.1597,0.127,0.031,0.031,0.3206,0.3667,0.2422,0.144,0.031,0.031,0.3311,0.3599,0.1411,0.1177,0.031,0.031,0.3442,0.2744,0.188,0.1165,0.031,0.031,0.2832,0.4028,0.1538,0.1099,0.031,0.031,0.3352,0.4014,0.1914,0.1184,0.031,0.031,0.3171,0.2251,0.2227,0.1135,0.031,0.031,0.3047,0.2661,0.189,0.1123,0.031,0.031,0.2942,0.3018,0.1797,0.1367,0.031,0.031,0.3052,0.2993,0.1724,0.114,0.031,0.031,0.2976,0.3071,0.1646,0.1189,0.031,0.031,0.2727,0.4072,0.1748,0.1221,0.031,0.031,0.3047,0.3105,0.1689,0.1189,0.031,0.031,0.2856,0.4404,0.1455,0.1111,0.031,0.031,0.3586,0.3203,0.23,0.1147,0.031,0.031,0.2817,0.3452,0.1865,0.1553,0.1294,0.031,0.031,0.3269,0.396,0.1792,0.1355,0.031,0.031,0.2913,0.2954,0.1572,0.1104,0.031,0.031,0.2693,0.2593,0.1782,0.1074,0.031,0.031,0.2991,0.2661,0.2202,0.1257,0.031,0.031
