Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
9001,12.88,5.88125660122,1.43395514627
11454,33.73,3.20682702128,0.65362094025
7105,18.07,6.32055880318,1.61776240566
4567,26.55,3.1784392625,0.452573216716
11363,29.09,4.75239130866,0.774733345863
5996,10.01,5.77693774822,1.35158581683
5848,11.43,5.24265285163,0.986780449542
9360,6.66,6.00791461431,1.04385337792
7293,20.09,5.53350536957,1.15789887197
2438,0.0,1.45678731962,0.225530192921
8645,0.0,1.84200065515,0.299910860711
6436,0.0,1.44628673335,0.265475514191
8551,0.0,3.70253572359,0.768436037704
2155,0.0,1.87196133053,0.313645160294
3102,0.0,2.11112185873,0.374476084981
