Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
9001,"[4.5485666856806395, 5.2332610128615302]",0,BCR/ABL, , , , 
9931,"[9.09938662691202, 10.3813709158796]",0,BCR/ABL,0.7568,0.5957,40.4975,0.4504
6701,"[3.1795185477647903, 5.4654542404906206]",0,NEG,0.6892,0.9107,46.3528,0.582
2268,"[2.6446194316374902, 3.0204299147198599]",0,ALL1/AF4, , , , 
2548,"[4.6225941601438203, 5.1116266938403205]",0,ALL1/AF4, , , , 
5212,"[5.3257726985226999, 6.1074199317092095]",0,ALL1/AF4,1.0,0.625,41.5888,0.2734
5326,"[3.0194052999762304, 3.3587186235921096]",0,E2A/PBX1, , , , 
1025,"[3.6014747810080201, 3.6732869554445999]",0,E2A/PBX1, , , , 
7856,"[4.0199591681129103, 4.5490149125960002]",0,E2A/PBX1,1.0,0.8333,30.6027,0.1489
5735,"[8.0248436976789801, 8.0248436976789801]",0,p15/p16, , , , 
2711,"[2.9116571129348396, 2.9116571129348396]",0,p15/p16,1.0,1.0,9.7041,0.031
11735,"[4.6994537768832902, 4.6994537768832902]",0,NUP-98, , , , 
1533,"[6.0703253914562501, 6.0703253914562501]",0,NUP-98,1.0,1.0,9.7041,0.031
