experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,generations,rate_policy,alpha,y,response_transform,transform_epsilon
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_14_complement_DetailedRules.csv,0.5150771153881833,50,500,adaptive,0.7,0.06032675057672221,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_1_complement_DetailedRules.csv,0.5213101752695052,50,500,adaptive,0.7,0.0852923704860119,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_2_complement_DetailedRules.csv,0.5521166881468991,50,500,adaptive,0.7,0.2092266816329425,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_3_complement_DetailedRules.csv,0.5139156456011498,50,500,adaptive,0.7,0.05567696080951199,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_4_complement_DetailedRules.csv,0.4829699385303544,50,500,adaptive,0.7,-0.06814660614606864,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_5_complement_DetailedRules.csv,0.5020724689614415,50,500,adaptive,0.7,0.008289923321021592,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_6_complement_DetailedRules.csv,0.4875923339372684,50,500,adaptive,0.7,-0.049640855549413034,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_7_complement_DetailedRules.csv,0.5081091969635176,50,500,adaptive,0.7,0.03243963232057345,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_8_complement_DetailedRules.csv,0.48778469496606397,50,500,adaptive,0.7,-0.04887094463487972,logit,1e-06
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_9_complement_DetailedRules.csv,0.4328846688300024,50,500,adaptive,0.7,-0.2700913502044284,logit,1e-06
