config,I,y,n,y_total,y_mean,SSY_i,SSE_i,A_factor,A_level,A,B_factor,B_level,B,AB,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15
-1_-1,1,"(3.247337253456729, 3.3843420046445343, 3.153257731537502, 3.1161092422668504, 3.1197278831245465, 2.8179829536338348, 3.242905018368946, 3.0868540539970915, 2.2249672791467994, 3.6984354100933214, 3.200754203475753, 3.3342438968103973, 2.759123940330025, 3.53059393620586, 3.434470193086928)",15,47.351105000179125,3.156740333345275,151.23532975195718,1.760186769424658,population,50,-1,dataset_level,low,-1,1,3.247337253456729,3.3843420046445343,3.153257731537502,3.1161092422668504,3.1197278831245465,2.8179829536338348,3.242905018368946,3.0868540539970915,2.2249672791467994,3.6984354100933214,3.200754203475753,3.3342438968103973,2.759123940330025,3.53059393620586,3.434470193086928
+1_-1,1,"(5.791053508878976, 5.799977213644893, 5.611449725930125, 5.86653200172349, 6.251098922292649, 5.951618521328616, 6.126592528240262, 6.283601807298421, 6.1819305902075365, 5.525268113458274, 6.156273300523773, 6.104263981954994, 6.064289214968303, 5.920992348021872, 6.188591092769977)",15,89.82353287124216,5.988235524749478,538.6363976563739,0.7519271582990563,population,1000,1,dataset_level,low,-1,-1,5.791053508878976,5.799977213644893,5.611449725930125,5.86653200172349,6.251098922292649,5.951618521328616,6.126592528240262,6.283601807298421,6.1819305902075365,5.525268113458274,6.156273300523773,6.104263981954994,6.064289214968303,5.920992348021872,6.188591092769977
-1_+1,1,"(4.301298177915205, 3.6637690610081055, 4.0137627299418455, 3.966284594239873, 3.3373765543774336, 3.5230579515282776, 4.258740471071099, 4.270417681213434, 4.443953632033605, 3.3861955385695754, 3.611159002088245, 3.730436022976148, 3.7884876434411683, 3.712257202263242, 3.779237042822239)",15,57.78643330548949,3.8524288870326324,224.2772228050814,1.65909786042904,population,50,-1,dataset_level,high,1,-1,4.301298177915205,3.6637690610081055,4.0137627299418455,3.966284594239873,3.3373765543774336,3.5230579515282776,4.258740471071099,4.270417681213434,4.443953632033605,3.3861955385695754,3.611159002088245,3.730436022976148,3.7884876434411683,3.712257202263242,3.779237042822239
+1_+1,1,"(6.68261282688266, 6.438875241979263, 6.938578819422534, 6.509858600496055, 6.716429174354657, 6.49303713994247, 6.354238773010253, 6.654388931264883, 6.487894675579905, 6.499615194932334, 6.658012998513944, 6.495846620969211, 6.791052296597909, 6.568506842255924, 7.040264132376893)",15,99.3292122685789,6.621947484571927,658.2576860960179,0.5048587695911094,population,1000,1,dataset_level,high,1,1,6.68261282688266,6.438875241979263,6.938578819422534,6.509858600496055,6.716429174354657,6.49303713994247,6.354238773010253,6.654388931264883,6.487894675579905,6.499615194932334,6.658012998513944,6.495846620969211,6.791052296597909,6.568506842255924,7.040264132376893
