step,source,formula,value,df,mean_square,variance_explained,variance_explained_percent,q_i,s_qi,s_e
SSY,response,SSY = sum(y_ij^2),1572.4066363094303,,,,,,,
SS0,correction,SS0 = (sum(y_ij)^2) / (2^k r),1443.4461821737777,1.0,,,,,,
SS_i,A,SS_i = (2^k r) * q_i^2,117.64258298975697,1.0,117.64258298975697,0.9122376605932981,91.22376605932982,1.4002534472358743,0.03730533026251339,
SS_i,B,SS_i = (2^k r) * q_i^2,6.627396469950509,1.0,6.627396469950509,0.05139092068471782,5.139092068471782,0.3323501283774515,0.03730533026251339,
SS_i,AB,SS_i = (2^k r) * q_i^2,0.014404118201609046,1.0,0.014404118201609046,0.00011169407162956687,0.011169407162956687,-0.015494148466226987,0.03730533026251339,
SSE,experimental_error,SSE = sum_i sum_j (y_ij - mean(y_i))^2,4.676070557743864,56.0,0.08350125995971185,0.03625972465035786,3.625972465035786,,,0.28896584566296385
SST,total,SST = SSY - SS0 = sum(SS_i) + SSE,128.96045413565253,59.0,,1.0,100.0,,,
