step,source,formula,value,df,mean_square,variance_explained,variance_explained_percent,q_i,s_qi,s_e
SSY,response,SSY = sum(y_ij^2),142.31593960773253,,,,,,,
SS0,correction,SS0 = (sum(y_ij)^2) / (2^k r),80.87389686549162,1.0,,,,,,
SS_i,A,SS_i = (2^k r) * q_i^2,59.66929341159753,1.0,59.66929341159753,0.9711476173069253,97.11476173069254,-0.9972403038017594,0.010705179189244183,
SS_i,B,SS_i = (2^k r) * q_i^2,1.3730655447276559,1.0,1.3730655447276559,0.022347329018468396,2.2347329018468396,0.15127599196654085,0.010705179189244183,
SS_i,AB,SS_i = (2^k r) * q_i^2,0.014624891363646628,1.0,0.014624891363646628,0.00023802742732692596,0.023802742732692596,0.015612437010092642,0.010705179189244183,
SSE,experimental_error,SSE = sum_i sum_j (y_ij - mean(y_i))^2,0.385058894552058,56.0,0.006876051688429607,0.0062670262472789345,0.6267026247278934,,,0.08292196143621788
SST,total,SST = SSY - SS0 = sum(SS_i) + SSE,61.442042742240915,59.0,,1.0,100.0,,,
