experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,generations,rate_policy,alpha,y,response_transform,transform_epsilon,I,q0,y_hat_main_effects,y_hat_full_factorial,A,B,AB,residual_main_effects,treatment_mean,full_factorial_minus_treatment_mean,residual_full_factorial,experiment_order,abs_residual_full_factorial,squared_residual_full_factorial
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_10_complement_DetailedRules.csv,0.5779848121019364,500,500,adaptive,0.7,0.31450628801874336,logit,1e-06,1,1.1609902157604632,0.31502590392524465,0.3306383409353373,1,1,1,-0.0005196159065012917,0.33063834093533734,-5.551115123125783e-17,-0.01613205291659392,11,0.01613205291659392,0.0002602431313037864
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_11_complement_DetailedRules.csv,0.5708853652893302,500,500,adaptive,0.7,0.28546433117554254,logit,1e-06,1,1.1609902157604632,0.31502590392524465,0.3306383409353373,1,1,1,-0.029561572749702114,0.33063834093533734,-5.551115123125783e-17,-0.04517400975979474,12,0.04517400975979474,0.0020406911577780305
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_12_complement_DetailedRules.csv,0.5793086678632487,500,500,adaptive,0.7,0.3199360536871854,logit,1e-06,1,1.1609902157604632,0.31502590392524465,0.3306383409353373,1,1,1,0.004910149761940763,0.33063834093533734,-5.551115123125783e-17,-0.010702287248151865,13,0.010702287248151865,0.00011453895234195402
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_13_complement_DetailedRules.csv,0.5764365465474632,500,500,adaptive,0.7,0.30816193302603817,logit,1e-06,1,1.1609902157604632,0.31502590392524465,0.3306383409353373,1,1,1,-0.006863970899206484,0.33063834093533734,-5.551115123125783e-17,-0.022476407909299112,14,0.022476407909299112,0.0005051889125052037
topk_quality,mean_rule_score,+1_+1,cancer,datasets\files\cancer.parquet,time,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_+1\cancer\complement\cancer_14_complement_DetailedRules.csv,0.568807672226021,500,500,adaptive,0.7,0.2769881401358995,logit,1e-06,1,1.1609902157604632,0.31502590392524465,0.3306383409353373,1,1,1,-0.03803776378934515,0.33063834093533734,-5.551115123125783e-17,-0.053650200799437775,15,0.053650200799437775,0.0028783440458199938
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_0_complement_DetailedRules.csv,0.4661633187250122,50,500,adaptive,0.7,-0.13555390977991597,logit,1e-06,1,1.1609902157604632,0.012473919992162963,-0.003138517017929679,1,-1,-1,-0.14802782977207893,-0.0031385170179296985,1.951563910473908e-17,-0.13241539276198627,16,0.13241539276198627,0.017533836240311088
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_1_complement_DetailedRules.csv,0.5213101752695052,50,500,adaptive,0.7,0.0852923704860119,logit,1e-06,1,1.1609902157604632,0.012473919992162963,-0.003138517017929679,1,-1,-1,0.07281845049384894,-0.0031385170179296985,1.951563910473908e-17,0.08843088750394158,17,0.08843088750394158,0.007820021864734772
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_2_complement_DetailedRules.csv,0.5521166881468991,50,500,adaptive,0.7,0.2092266816329425,logit,1e-06,1,1.1609902157604632,0.012473919992162963,-0.003138517017929679,1,-1,-1,0.19675276164077954,-0.0031385170179296985,1.951563910473908e-17,0.21236519865087217,18,0.21236519865087217,0.0450989775980244
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_3_complement_DetailedRules.csv,0.5139156456011498,50,500,adaptive,0.7,0.05567696080951199,logit,1e-06,1,1.1609902157604632,0.012473919992162963,-0.003138517017929679,1,-1,-1,0.04320304081734903,-0.0031385170179296985,1.951563910473908e-17,0.05881547782744167,19,0.05881547782744167,0.0034592604320702824
topk_quality,mean_rule_score,+1_-1,cancer,datasets\files\cancer.parquet,time,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\mean_rule_score\+1_-1\cancer\complement\cancer_4_complement_DetailedRules.csv,0.4829699385303544,50,500,adaptive,0.7,-0.06814660614606864,logit,1e-06,1,1.1609902157604632,0.012473919992162963,-0.003138517017929679,1,-1,-1,-0.0806205261382316,-0.0031385170179296985,1.951563910473908e-17,-0.06500808912813896,20,0.06500808912813896,0.004226051652092059
