experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,dataset_level,generations,rate_policy,y,response_transform,I,q0,y_hat_main_effects,y_hat_full_factorial,A,B,AB,residual_main_effects,treatment_mean,full_factorial_minus_treatment_mean,residual_full_factorial,experiment_order,abs_residual_full_factorial,squared_residual_full_factorial
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_13_complement_Info.csv,712.3054642677307,1000,high,500,adaptive,6.568506842255924,log,1,4.904838057424828,6.637441633038154,6.621947484571927,1,1,1,-0.06893479078223042,6.621947484571927,0.0,-0.053440642316003206,14,0.053440642316003206,0.0028559022511469925
runtime,total_time,+1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_+1\mgus2\complement\mgus2_14_complement_Info.csv,1141.6891238689425,1000,high,500,adaptive,7.040264132376893,log,1,4.904838057424828,6.637441633038154,6.621947484571927,1,1,1,0.4028224993387388,6.621947484571927,0.0,0.418316647804966,15,0.418316647804966,0.174988817830784
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_0_complement_Info.csv,327.3577170372009,1000,low,500,adaptive,5.791053508878976,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,-0.18168786740427478,5.988235524749478,0.0,-0.197182015870502,16,0.197182015870502,0.0388807473827549
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,1,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_1_complement_Info.csv,330.2920336723328,1000,low,500,adaptive,5.799977213644893,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,-0.1727641626383578,5.988235524749478,0.0,-0.18825831110458502,17,0.18825831110458502,0.03544119169995072
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,2,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_2_complement_Info.csv,273.54050946235657,1000,low,500,adaptive,5.611449725930125,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,-0.3612916503531256,5.988235524749478,0.0,-0.3767857988193528,18,0.3767857988193528,0.1419675381919378
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_3_complement_Info.csv,353.0225732326508,1000,low,500,adaptive,5.86653200172349,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,-0.10620937455976076,5.988235524749478,0.0,-0.12170352302598797,19,0.12170352302598797,0.014811747516937184
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_4_complement_Info.csv,518.5823934078217,1000,low,500,adaptive,6.251098922292649,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.2783575460093983,5.988235524749478,0.0,0.2628633975431711,20,0.2628633975431711,0.06909716576793921
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_5_complement_Info.csv,384.37495493888855,1000,low,500,adaptive,5.951618521328616,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,-0.021122854954635173,5.988235524749478,0.0,-0.03661700342086238,21,0.03661700342086238,0.0013408049395234474
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_6_complement_Info.csv,457.873309135437,1000,low,500,adaptive,6.126592528240262,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.15385115195701093,5.988235524749478,0.0,0.13835700349078373,22,0.13835700349078373,0.01914266041494874
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_7_complement_Info.csv,535.7147343158722,1000,low,500,adaptive,6.283601807298421,log,1,4.904838057424828,5.972741376283251,5.988235524749478,1,-1,-1,0.31086043101517014,5.988235524749478,0.0,0.2953662825489429,23,0.2953662825489429,0.08724124086678199
