term,factors,order,sum_squares,variance_explained,variance_explained_percent
SST,total,,128.96045413565253,1.0,100.0
A,population,1.0,117.64258298975697,0.9122376605932981,91.22376605932982
B,dataset_level,1.0,6.627396469950509,0.05139092068471782,5.139092068471782
SSE,experimental_error,,4.676070557743864,0.03625972465035786,3.625972465035786
AB,population:dataset_level,2.0,0.014404118201609046,0.00011169407162956687,0.011169407162956687
