experiment,response,config,dataset_name,dataset_path,time_col,event_col,execution,response_file,y_raw,population,dataset_level,generations,rate_policy,y,response_transform
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,3,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_3_complement_Info.csv,353.0225732326508,1000,low,500,adaptive,5.86653200172349,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,4,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_4_complement_Info.csv,518.5823934078217,1000,low,500,adaptive,6.251098922292649,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,5,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_5_complement_Info.csv,384.37495493888855,1000,low,500,adaptive,5.951618521328616,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,6,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_6_complement_Info.csv,457.873309135437,1000,low,500,adaptive,6.126592528240262,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,7,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_7_complement_Info.csv,535.7147343158722,1000,low,500,adaptive,6.283601807298421,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,8,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_8_complement_Info.csv,483.9253165721893,1000,low,500,adaptive,6.1819305902075365,log
runtime,total_time,+1_-1,veteran,datasets\files\veteran.parquet,survival,status,9,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\+1_-1\veteran\complement\veteran_9_complement_Info.csv,250.95361304283145,1000,low,500,adaptive,5.525268113458274,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,0,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_0_complement_Info.csv,73.79553127288818,50,high,500,adaptive,4.301298177915205,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,10,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_10_complement_Info.csv,37.0089213848114,50,high,500,adaptive,3.611159002088245,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,11,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_11_complement_Info.csv,41.697285175323486,50,high,500,adaptive,3.730436022976148,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,12,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_12_complement_Info.csv,44.18951940536499,50,high,500,adaptive,3.7884876434411683,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,13,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_13_complement_Info.csv,40.946125984191895,50,high,500,adaptive,3.712257202263242,log
runtime,total_time,-1_+1,mgus2,datasets\files\mgus2.parquet,futime,status,14,C:\GitHub\easd_refatorado\experiments\factorial_design\factorial_2k\total_time\-1_+1\mgus2\complement\mgus2_14_complement_Info.csv,43.7826247215271,50,high,500,adaptive,3.779237042822239,log
