Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
17573,53.6,126.3,26.3843172343
21089,16.79,3097.3,540.328861783
11283,3.0,8894.4,1784.84766968
14307,0.3,764.6,92.1350766741
11646,1.95,235.9,42.4709727096
21054,5.51,116.2,24.2348569265
2365,0.97,1080.4,229.496007611
5042,0.86,1366.1,155.438580548
18282,16.3,241.7,43.2940123012
6443,13.16,661.8,113.883672574
10962,25.28,261.9,49.0683624744
17431,20.28,655.4,121.736799557
18398,6.42,2001.4,194.239629744
11257,4.04,9.9,1.43162404013
11507,6.35,149.5,20.4577802951
4585,4.31,1261.5,129.090220542
2659,3.03,228.0,35.1897228607
12220,1.76,272.5,55.5944052064
8778,2.64,329.5,59.6043924936
1076,4.57,680.8,149.303480538
16329,26.21,186.6,40.9055681943
