Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
534,14.92,4307.0,494.267571973
6207,9.22,238.6,46.1202987366
12533,40.47,1459.7,339.326341695
11561,8.85,1948.9,193.935975386
405,3.72,2925.6,515.488003275
14076,0.74,896.7,143.621339725
3803,3.41,126.0,23.0327469923
79,0.04,3040.8,502.720898801
15679,3.64,423.0,85.9545644361
2106,3.57,779.8,120.110141117
7677,6.3,61.9,12.3391185549
8937,9.99,685.4,77.2896628631
17296,12.35,393.5,63.6248049576
15063,14.7,660.7,137.098843023
8298,9.84,1333.6,256.771490665
7481,27.87,87.9,17.174660869
6506,8.38,409.2,44.7233864059
22207,6.87,126.7,27.9753437602
17370,13.4,149.3,28.2424767178
236,0.56,922.5,192.256562261
21734,2.51,107.4,19.1438089316
20075,1.1,118.5,22.660361548
1678,1.45,524.4,64.4984477586
1265,4.18,983.0,124.702070909
10046,2.73,854.8,162.02408047
4400,10.37,152.4,17.1964309433
1652,11.12,1040.9,176.886292595
