Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
11499,8.83,7546.8,784.990764483
21287,37.45,5197.8,824.215788871
11973,12.97,566.5,99.9273873785
13585,0.5,40.0,4.8012044974
11220,1.95,123.2,26.4253124717
8618,1.33,90.1,14.0080478974
8087,0.0,39.1,6.44832098592
21360,7.02,611.2,78.7114359176
17098,17.79,925.2,158.860661358
243,3.07,37024.1,5389.39248714
15971,8.52,463.4,50.1244289748
3875,11.42,75.3,13.9462149223
14101,7.43,882.0,89.3612114892
2583,3.5,211.6,34.771047017
15377,1.5,79.9,16.1575689108
8778,2.64,329.5,59.6043924936
3912,6.71,779.8,139.353324641
3545,12.46,760.8,109.72886955
