Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
2171,9.04,1033.6,185.014803541
16484,19.95,836.4,176.123353145
1074,8.5,40.0,7.81206427901
12504,14.98,1826.0,222.387352016
3661,2.36,1634.5,237.560106346
1134,2.8,196.2,34.3578581716
11264,0.5,178.4,30.5162742352
954,1.67,3495.2,658.624413243
1569,0.86,268.2,52.9306995695
12370,5.93,6689.8,1347.82758054
1658,4.89,92.0,19.3171608642
2193,13.25,144.1,22.1832325394
21150,13.55,3916.3,614.444610408
11320,12.78,918.5,153.765283775
7332,2.99,46.8,7.73838645606
18145,19.55,253.7,33.918911975
22189,10.07,141.0,27.1428212865
1786,4.49,196.1,38.2038993866
15581,0.27,1012.9,171.685855487
8964,7.15,390.4,65.3284697343
6084,4.74,26685.9,4362.00370414
19702,9.12,66.9,9.98427044084
8352,15.21,832.4,139.445654281
