Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
1530,"[104.40000000000001, 234.69999999999999]",0,synovial sarcoma, , , , 
8161,"[163.0, 265.60000000000002]",0,synovial sarcoma,1.0,0.6667,47.229,0.4702
925,"[213.19999999999999, 555.89999999999998]",0,myxoid liposarcoma,0.9474,0.6923,48.3047,0.5065
20201,"[31.199999999999999, 32.0]",0,lipoma, , , , 
19733,"[16.600000000000001, 18.600000000000001]",0,lipoma, , , , 
771,"[315.89999999999998, 336.89999999999998]",0,lipoma,1.0,1.0,21.3321,0.111
18840,"[25.100000000000001, 27.899999999999999]",0,well-differentiated liposarcoma, , , , 
10552,"[2.1000000000000001, 2.2000000000000002]",0,well-differentiated liposarcoma,1.0,1.0,21.3321,0.111
12275,"[35.899999999999999, 73.900000000000006]",0,dedifferentiated liposarcoma, , , , 
13338,"[20.5, 37.799999999999997]",0,dedifferentiated liposarcoma, , , , 
886,"[247.19999999999999, 488.80000000000001]",0,dedifferentiated liposarcoma,0.7333,0.6875,34.5668,0.332
2410,"[47.600000000000001, 78.099999999999994]",0,myxofibrosarcoma, , , , 
11999,"[40.600000000000001, 88.0]",0,myxofibrosarcoma,0.8667,0.4643,30.645,0.3429
7819,"[60.399999999999999, 75.599999999999994]",0,leiomyosarcoma, , , , 
5664,"[67.700000000000003, 75.599999999999994]",0,leiomyosarcoma,0.8333,0.7143,25.2573,0.1752
17951,"[24.5, 26.5]",0,malignant peripheral nerve sheath tumor, , , , 
20856,"[776.60000000000002, 796.79999999999995]",0,malignant peripheral nerve sheath tumor,1.0,1.0,21.3321,0.111
11911,"[61.700000000000003, 72.099999999999994]",0,fibrosarcoma, , , , 
12062,"[65.900000000000006, 76.200000000000003]",0,fibrosarcoma, , , , 
1019,"[7110.5, 8026.1999999999998]",0,fibrosarcoma,1.0,1.0,26.1413,0.1466
9035,"[40.799999999999997, 222.19999999999999]",0,malignant fibrous histiocytoma, , , , 
13319,"[1326.3, 2207.5999999999999]",0,malignant fibrous histiocytoma, , , , 
2866,"[36.399999999999999, 79.799999999999997]",0,malignant fibrous histiocytoma,0.8095,0.68,41.6084,0.4571
