Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
684,24.24,319.7,63.1632608419
8973,20.94,655.2,139.256190851
8857,13.71,1673.7,341.252467573
1069,18.4,488.0,88.478509478
1568,1.55,1035.8,125.329796035
11706,0.42,283.7,43.9118434946
21636,2.24,277.4,30.2011224131
9580,3.8,297.2,71.6479731735
375,18.99,257.5,40.5738830467
1135,13.91,442.7,87.3473107681
17465,8.82,1216.9,243.342587736
4002,3.92,405.5,67.4488596328
9168,9.3,238.7,39.7644888125
15358,20.26,53.8,12.0183810094
3215,1.61,273.4,56.4853659615
4243,0.71,140.0,17.3943109526
4962,2.86,1003.1,149.576688211
19606,2.34,76.8,17.1503742778
20075,1.1,118.5,22.660361548
19291,2.15,158.5,26.0248420307
2994,19.64,178.7,30.0612865452
19040,18.34,312.9,39.5903574004
