Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
10151,28.87,91.8,18.1897290796
1896,7.02,830.8,165.303005694
14422,26.61,2393.4,564.687604468
9244,0.45,198.5,35.1181193872
21826,1.33,360.1,49.2015773211
2700,2.43,168.5,31.3625973634
19270,3.92,114.9,19.1474702804
8197,0.96,1701.0,243.301876084
20051,11.66,679.1,75.6677135952
20797,13.38,263.0,48.0550443647
20631,28.87,3451.1,618.643064223
17784,9.36,180.6,28.4620717667
19524,1.33,828.6,129.86758603
20888,1.15,270.4,52.2733896134
17468,1.4,291.9,57.8296096431
11541,4.44,184.5,34.2401009546
12857,1.0,19580.1,3334.74368153
13177,32.59,1624.0,285.350249937
