Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
19303,"[183.0, 251.90000000000001]",0,synovial sarcoma, , , , 
17531,"[223.09999999999999, 387.69999999999999]",0,synovial sarcoma,0.875,0.56,36.4435,0.3882
8276,"[956.0, 2055.0]",0,myxoid liposarcoma, , , , 
1359,"[156.09999999999999, 468.0]",0,myxoid liposarcoma,0.8947,0.6296,42.3945,0.4615
8289,"[129.5, 139.5]",0,lipoma, , , , 
19270,"[39.299999999999997, 44.0]",0,lipoma, , , , 
18199,"[95.799999999999997, 99.599999999999994]",0,lipoma,1.0,1.0,21.3321,0.111
7495,"[3.1000000000000001, 3.7999999999999998]",0,well-differentiated liposarcoma, , , , 
511,"[577.20000000000005, 626.89999999999998]",0,well-differentiated liposarcoma,1.0,1.0,21.3321,0.111
21360,"[124.40000000000001, 197.5]",0,dedifferentiated liposarcoma, , , , 
1426,"[223.80000000000001, 331.80000000000001]",0,dedifferentiated liposarcoma,0.8667,0.619,38.1248,0.381
20501,"[30.800000000000001, 43.799999999999997]",0,myxofibrosarcoma, , , , 
8580,"[88.900000000000006, 264.30000000000001]",0,myxofibrosarcoma,0.4667,1.0,27.2427,0.2286
11381,"[4302.1000000000004, 5751.8000000000002]",1,myxofibrosarcoma, , , , 
16620,"[227.30000000000001, 396.69999999999999]",1,myxofibrosarcoma, , , , 
13290,"[1.5, 32.5]",1,myxofibrosarcoma,0.8,0.6667,36.9707,0.3592
12998,"[1322.4000000000001, 1644.3]",0,leiomyosarcoma, , , , 
21833,"[83.200000000000003, 144.59999999999999]",0,leiomyosarcoma,1.0,0.5455,27.0728,0.2046
12570,"[60.0, 64.5]",0,malignant peripheral nerve sheath tumor, , , , 
6187,"[283.0, 316.19999999999999]",0,malignant peripheral nerve sheath tumor, , , , 
3883,"[28.699999999999999, 29.800000000000001]",0,malignant peripheral nerve sheath tumor,1.0,1.0,21.3321,0.111
13158,"[26.300000000000001, 36.899999999999999]",0,fibrosarcoma, , , , 
22084,"[41.700000000000003, 50.700000000000003]",0,fibrosarcoma, , , , 
3978,"[38.799999999999997, 60.100000000000001]",0,fibrosarcoma,1.0,1.0,26.1413,0.1466
15766,"[83.599999999999994, 127.5]",0,malignant fibrous histiocytoma, , , , 
21624,"[34.799999999999997, 106.09999999999999]",0,malignant fibrous histiocytoma,0.6667,0.5833,29.9724,0.3505
