Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
2999,8.88,1027.0,214.108688317
6013,46.95,4444.2,1244.03033708
11132,1.9,399.2,69.8541537712
14046,1.42,126.7,25.4050332292
11375,4.19,493.5,83.4451723318
18118,0.94,394.8,71.402562668
17728,3.91,247.9,41.9040782845
169,13.67,4701.5,551.94509445
695,15.13,982.8,161.867217479
5814,10.7,367.3,68.0934033319
1768,29.65,693.2,123.509942916
22189,10.07,141.0,27.1428212865
8044,2.84,59.8,9.76454208277
22218,0.18,1408.2,228.425967195
12099,1.22,311.0,51.5595229277
8552,4.08,1467.5,213.17416478
6287,0.84,95.6,16.8000770973
7811,4.22,1741.2,296.986801411
1213,23.27,154.3,24.9635052266
781,12.58,19674.0,3609.64020894
