Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
18351,2.9,4744.0,622.512864626
270,12.8,1487.7,296.907197598
4573,27.58,796.6,123.66054133
1014,8.23,3042.8,517.498343719
18641,9.65,377.3,52.4506650736
10541,1.92,229.3,41.9744093942
19755,0.33,918.3,180.971063186
338,4.02,1949.5,409.505319177
8971,1.59,602.1,82.7676238695
6606,14.73,335.4,53.7125918679
20861,18.71,388.0,57.2930960371
18437,5.79,285.0,34.5514609265
11421,10.59,1478.3,256.886847102
10965,4.93,154.1,24.6233106008
3247,9.92,326.7,64.618537065
2715,4.77,343.8,48.6321713923
18574,2.48,141.3,28.9637430713
21685,1.92,150.8,21.7204901328
8142,2.29,4123.0,659.135917681
4064,3.04,3078.2,690.217130841
8874,34.86,251.0,46.644422687
22167,19.42,116.9,23.5725996054
