Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
19303,10.58,651.2,89.3859372992
17531,43.7,376.7,70.7015081225
8276,24.41,4501.8,1160.11561219
1359,17.76,1755.7,213.493414416
8289,1.37,731.3,124.087821508
19270,4.09,114.9,19.1474702804
18199,1.28,297.6,48.0127309648
7495,1.43,49.0,9.11156022343
511,2.57,1931.0,332.037331663
21360,11.96,611.2,78.7114359176
1426,17.19,628.4,104.559398588
20501,2.95,440.4,77.2562872945
8580,8.84,1983.2,367.402946691
11381,15.67,9251.4,1675.53758641
16620,12.67,1337.1,276.123512982
13290,17.85,173.7,26.6880430308
12998,17.14,1877.9,377.005746197
21833,13.46,456.1,76.6588520951
12570,2.66,169.1,27.675178004
6187,1.05,3165.9,385.332302009
3883,0.35,316.8,34.2540688084
13158,2.33,454.3,60.646174561
22084,3.23,278.7,44.4846807844
3978,1.61,1324.0,181.366089368
15766,17.85,245.9,46.7036960377
21624,22.58,315.7,47.1653910551
