Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
13657,10.28,995.4,106.907405147
8122,13.74,1862.2,334.093933219
282,13.02,1140.1,264.139136901
16823,0.24,83.5,14.655017823
11088,0.95,42.2,7.03245240639
1999,2.68,157.0,26.1224534829
17176,2.61,260.5,57.628043973
1924,14.2,379.5,63.1569675392
17098,14.74,925.2,158.860661358
12736,7.89,10560.1,1894.76302813
14811,21.98,351.2,68.3946226288
11507,3.21,149.5,20.4577802951
15459,1.71,216.2,36.8544987854
22009,1.27,142.2,23.3038030044
8248,2.98,503.8,81.6609290446
21498,9.15,92.9,17.4434166284
20797,2.28,263.0,48.0550443647
19620,10.51,299.6,48.4962017448
7152,4.21,38.0,7.12560748892
