Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
11761,15.12,966.7,176.171573442
95,24.38,789.2,179.528145291
1940,13.54,892.0,164.876438655
21167,19.56,567.0,106.643795397
9396,0.26,1287.1,173.195471141
2286,0.61,2300.2,340.837014981
11132,1.9,399.2,69.8541537712
8589,2.05,219.9,44.3971228052
1149,1.99,642.2,125.98829383
18033,10.54,171.7,23.7081328029
7274,6.05,56.2,10.5743353361
12740,20.17,752.6,141.18945393
21106,16.92,1875.2,252.602755502
2323,11.67,639.3,133.522106551
21886,2.6,76.9,14.1761308123
6964,5.83,212.6,31.7016803778
662,0.17,3778.4,498.822986203
9693,1.29,418.7,62.0574808813
20797,2.28,263.0,48.0550443647
9588,1.31,1704.7,315.226890959
1477,36.74,1231.2,274.726167074
