Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
930,8.92,3203.4,626.06942195
136,15.48,2678.7,427.10109188
3562,8.57,1283.9,251.073505862
1908,15.11,676.4,129.550246791
16053,1.44,138.6,32.8804446014
405,3.72,2925.6,515.488003275
17633,2.8,414.6,72.715976492
12200,1.03,243.2,45.9413541174
8610,3.23,349.6,59.0042443917
18760,11.79,280.7,50.1830600467
8876,12.29,838.1,98.4059396839
562,10.13,559.6,95.3020000076
3387,0.05,7309.1,744.700832074
3260,3.92,1234.2,120.205059767
7564,9.3,197.9,30.4009880195
567,0.48,567.6,129.972654162
8854,1.83,295.5,48.6484136304
9588,1.31,1704.7,315.226890959
11651,7.75,2764.5,524.594068462
8368,1.82,636.4,83.045167395
11465,20.78,384.1,63.0336972545
