Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
17327,31.44,4953.5,900.948602511
8511,8.03,1015.5,104.171191503
2999,11.72,1027.0,214.108688317
1471,17.8,1657.3,299.709281672
9153,4.79,198.5,31.8061712519
663,1.02,1464.7,256.079636044
15120,0.22,45.2,11.6719723601
17132,3.81,1197.1,253.066302294
13809,11.7,333.2,63.7613591214
169,13.05,4701.5,551.94509445
12076,12.44,291.7,43.9946286765
18280,22.81,672.6,132.092689185
15338,5.17,71.6,11.3494221935
1934,10.11,150.4,24.7811680749
17588,1.8,600.9,116.055906639
662,0.17,3778.4,498.822986203
1575,2.18,476.7,86.749519141
11739,5.72,230.8,40.3838520298
758,36.68,4606.6,955.136949725
