Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
18398,7.12,2001.4,194.239629744
22116,18.54,371.7,54.167212464
8783,24.95,2743.6,547.879705414
8918,7.48,117.6,23.6640022645
1363,4.36,142.2,24.1522211577
9183,1.4,565.0,67.1814342672
11582,1.51,2022.4,307.68865492
11477,0.21,1401.2,213.267977808
8258,18.14,2299.0,462.097084851
20862,11.06,809.1,116.682995141
9225,2.39,1085.6,104.486931496
7495,8.16,49.0,9.11156022343
20157,9.66,105.6,21.6352340496
4312,10.4,114.4,21.6452899256
17488,2.6,1628.2,250.657825514
10756,4.71,320.7,40.0180931189
3815,2.86,41.9,10.1051185252
12570,2.66,169.1,27.675178004
18889,3.49,317.7,40.7003196988
6220,4.29,193.4,28.1738624468
18514,21.3,108.0,18.5666115853
4770,5.26,45.6,7.56064065241
