Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
11482,5.79,2962.8,650.566904158
10396,14.43,873.7,191.234027015
13488,3.96,2946.6,651.441483411
21846,10.17,671.8,71.2601445123
1974,2.78,708.1,108.562142819
13425,3.71,172.3,33.3675037918
4313,5.33,1418.3,318.037065519
8197,0.96,1701.0,243.301876084
17191,9.94,706.5,141.782503115
15653,28.67,171.6,27.5247065268
16114,15.03,124.4,23.7460976911
3387,0.05,7309.1,744.700832074
12812,9.17,21.8,2.51157032303
16573,9.78,114.5,20.2970571016
21891,2.45,281.6,41.797185727
5282,2.41,365.7,51.6391682803
15031,3.23,80.6,16.5726655258
14238,5.22,619.3,112.817067082
7918,1.17,247.4,48.3877944543
4830,3.04,530.1,95.4385915564
18086,10.06,1543.0,284.243543973
2088,24.7,334.4,70.3412018038
