Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
9904,23.45,7153.3,1553.80488688
11565,28.29,342.2,54.797992366
240,10.36,1513.7,210.023772342
11264,0.5,178.4,30.5162742352
7148,2.82,507.2,83.0969146836
13464,1.05,277.2,44.7045294291
3220,4.4,427.5,59.1300904095
592,3.88,881.2,171.16424899
22029,10.2,256.8,41.4679878828
8112,17.36,252.3,51.9255334584
7915,14.36,621.0,90.0914206581
4661,12.19,97.6,20.9384491344
3510,13.91,173.3,38.5743860124
2223,8.97,470.4,62.2521571173
436,1.25,14714.3,2758.45956885
3857,1.29,333.6,65.3056228615
6386,4.39,637.9,117.41353692
187,3.61,3952.9,824.052586308
36,2.57,8205.0,1452.21087982
8116,5.87,1522.5,312.712600116
22268,11.57,9144.9,1348.24254842
4213,11.73,269.5,45.2798705758
