Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
19201,40.86,286.8,42.614013153
13240,3.45,3166.9,462.318970909
68,11.46,2256.3,334.147413258
5048,24.86,845.2,113.733623561
2424,2.8,439.2,70.022113216
2175,0.16,126.6,31.0189674107
22219,5.31,2193.8,336.596992144
3373,4.52,172.7,33.558119672
541,4.58,799.7,103.036781254
8654,12.7,525.9,80.9756318206
11320,12.78,918.5,153.765283775
44,9.52,11518.3,1722.1000388
873,7.33,1934.0,264.688378547
15919,6.65,45.1,10.0393206083
2336,2.63,806.3,134.966861017
12863,1.93,212.9,40.4029481873
11812,0.43,304.2,70.7971483341
167,8.21,1903.6,425.220342455
6220,4.29,193.4,28.1738624468
4325,2.49,124.7,20.1359203636
17840,16.8,222.6,35.7382614634
