Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
17116,12.33,938.6,142.023070893
7581,14.53,2643.6,404.78992541
1107,19.87,446.4,62.2367733601
10397,18.56,289.3,62.0679642557
18039,2.61,283.4,39.9101854935
11646,1.95,235.9,42.4709727096
8383,1.97,121.6,17.0472834231
3297,1.92,140.3,25.7969504429
22211,1.44,360.3,54.8668918586
1648,23.35,439.8,91.6836083986
12918,17.98,293.1,47.2595690055
17465,8.82,1216.9,243.342587736
16603,2.88,65.9,11.7380140633
1026,8.41,806.5,93.6619926982
11129,6.69,1684.8,340.724531734
17641,3.76,242.3,48.6361103962
18416,3.51,213.5,44.5561999218
10206,2.33,8.6,1.69184411455
11414,2.36,38.2,8.41650381738
10008,3.98,256.6,46.4316317819
12312,13.58,897.8,100.717455494
10286,11.25,261.4,41.3232440616
