Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
18406,35.23,500.2,62.9677256423
1763,21.35,594.5,120.319038954
1002,1.68,5141.9,595.952044171
3417,3.1,177.7,30.1277310125
11079,1.42,500.2,74.4334654821
10581,0.99,150.9,27.7103730506
4144,2.88,208.6,30.5814376139
8971,1.59,602.1,82.7676238695
6790,22.46,1365.5,285.344322638
1602,27.56,3123.1,776.025093701
18061,5.81,1303.1,130.315050568
12145,9.99,2022.4,338.136918952
8926,6.98,91.7,19.7959975798
17945,11.3,316.9,59.4368883374
12167,2.25,404.1,71.0445705589
471,3.03,1820.8,379.003076177
22008,1.61,1349.8,212.103238338
1076,4.57,680.8,149.303480538
20814,8.58,389.4,81.7991888034
8113,44.63,1258.0,273.08375018
