Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
5699,22.31,566.9,70.7157179012
21865,11.69,364.3,64.4865491011
11673,15.34,962.8,103.722882166
8551,37.92,2255.8,301.596940781
1446,2.16,623.7,120.849684974
21832,2.2,1383.5,165.713845303
13347,0.25,17641.7,3230.26138319
6709,2.12,66.0,13.6083316483
9948,0.97,72.1,16.1530346903
8574,2.76,1484.5,252.811414367
10620,3.0,43.3,9.83732233169
8693,14.57,1116.5,131.965661527
751,17.85,349.6,58.3442451679
359,2.81,5585.1,979.891864128
3493,9.46,98.3,19.2386422836
5788,1.26,364.9,57.2037775262
11410,4.79,365.4,45.291674977
459,2.47,2399.5,434.282570129
38,2.52,10719.3,1728.45278206
12413,5.36,302.3,39.9535706276
12962,10.28,15269.8,2478.1034887
