Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
3096,9.15,2851.7,562.257216637
9250,7.43,1958.4,397.743827702
240,10.36,1513.7,210.023772342
21001,21.19,422.4,83.7498538449
68,0.78,2256.3,334.147413258
12145,1.26,2022.4,338.136918952
12793,0.52,289.5,51.6409937884
7732,0.83,411.4,92.125987923
84,26.22,4991.2,1102.27912833
13905,7.81,354.5,70.7814469843
8386,11.71,879.7,125.87384695
8647,9.99,1921.0,294.994976065
21487,9.45,120.6,23.5284802381
4139,13.9,218.0,44.6740050424
14663,0.43,69.2,11.7672691064
6067,2.6,323.0,61.2488872517
17520,3.51,188.2,32.302798879
4115,2.45,1402.6,203.469691122
781,8.6,19674.0,3609.64020894
