Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
11499,9.7,7546.8,784.990764483
4101,11.62,381.4,73.3487993586
7898,9.82,279.0,46.6416725487
8596,16.43,862.3,145.099448183
6677,0.06,161.2,21.5346901702
18447,5.9,115.2,20.5886738562
905,1.72,528.2,101.067620093
22152,0.48,483.8,93.0146971051
2010,5.35,2062.3,299.362642587
22029,15.77,256.8,41.4679878828
1772,9.7,1132.4,161.415402401
17435,7.23,558.6,60.6718876725
5439,0.23,4861.4,966.875871332
5801,2.26,44.2,7.95121668124
15939,15.75,1675.2,308.414274531
12570,2.66,169.1,27.675178004
18612,1.14,1063.4,192.438061029
17552,0.54,1581.5,233.134825601
11,1.14,456.5,51.5279989847
620,2.13,797.9,152.384914341
870,7.37,302.6,51.9367634332
