Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
11826,47.09,531.8,114.871479307
1733,7.66,1294.9,251.860083758
4573,16.09,796.6,123.66054133
8684,15.3,2377.6,380.759653642
1686,1.15,382.9,48.7821507077
13347,0.25,17641.7,3230.26138319
2471,5.02,193.3,40.8890538718
20255,1.95,666.2,123.818116823
13464,1.05,277.2,44.7045294291
15613,10.13,383.9,67.0269039022
8155,15.82,2349.1,395.109018228
11341,14.77,1138.2,137.795897223
13773,11.83,237.6,39.767720088
40,6.66,652.1,99.2082635721
524,3.97,836.3,166.134009466
18612,1.14,1063.4,192.438061029
3992,1.69,871.4,91.834047278
3476,3.97,105.7,20.3189318912
9775,1.71,709.4,91.5520546774
20797,2.28,263.0,48.0550443647
268,7.15,9993.0,1872.77460948
