Attribute,coveredPercentage,Dif_Min_Max,Attribute_std
3934,15.93,184.6,30.810880871
4365,12.27,1318.0,135.756650477
3384,13.35,289.2,38.7038265494
10504,29.97,222.2,43.8641259525
8928,5.52,3548.4,371.713522816
2041,0.39,545.4,74.1727231648
10541,1.92,229.3,41.9744093942
14076,0.74,896.7,143.621339725
12268,2.06,4236.5,660.970834233
798,1.08,566.4,81.4504552827
15766,17.53,245.9,46.7036960377
20124,27.08,216.0,42.1994053757
13545,8.37,7239.7,1264.27679425
86,11.2,502.5,107.01075649
8498,8.63,577.0,73.9429204754
19949,1.36,58.7,11.501733045
10634,0.41,72.4,12.1300094124
11889,8.99,258.1,41.4197121781
8562,3.69,2848.3,588.665058957
17380,8.33,301.5,51.2929623388
11865,41.4,1533.7,297.879156746
