metric,mean,std,mean±std,min,max,median
exceptionality,1.0000,0.0000,1.0000±0.0000,1.0000,1.0000,1.0000
#sg,10.0000,0.0000,10.0000±0.0000,10.0000,10.0000,10.0000
length,2.0067,0.2348,2.0067±0.2348,1.6000,2.8000,2.0000
sgCov,0.5495,0.0023,0.5495±0.0023,0.5434,0.5535,0.5500
setCov,0.9374,0.0703,0.9374±0.0703,0.7424,1.0000,0.9596
description redundancy,0.0452,0.0343,0.0452±0.0343,0.0000,0.1074,0.0370
coverage redundancy,0.6884,0.0814,0.6884±0.0814,0.5711,0.8640,0.6704
CR,0.5064,0.0092,0.5064±0.0092,0.4949,0.5292,0.5036
model redundancy,0.6444,0.2034,0.6444±0.2034,0.4000,1.0000,0.5333
