0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183
0.0150774,0.0173208,0.0183533,0.0123458,0.0119388,0.015704,0.0154032,0.0185014,0.0168362,0.0134128,0.0139742,0.0199198,0.0154574,0.0157372,0.0160606,0.0149798,0.0150872,0.0180432,0.0155904,0.0165812,0.0114024,0.0125878,0.0148232,0.0189176,0.014367,0.0175216,0.014169,0.0124476,0.0108023,0.014353,0.0172132,0.0143966,0.0160734,0.0152106,0.0130996,0.0120838,0.0173488,0.0139124,0.0162962,0.0144206,0.0125274,0.0153598,0.0185318,0.0157798,0.01422,0.0139159,0.015037,0.01146,0.0158561,0.0154028,0.0163475,0.0124892,0.0144338,0.0139222,0.0172182,0.0156572,0.0176961,0.0160582,0.0137014,0.0140246,0.0198624,0.0150996,0.0185514,0.0185456,0.014051,0.0149536,0.0173408,0.0161293,0.0189428,0.0121286,0.012782,0.0140358,0.0181182,0.0142796,0.0171604,0.0166382,0.0136912,0.017663,0.0219842,0.0143032,0.0148028,0.0131702,0.0129318,0.012176,0.0189407,0.0154308,0.0152798,0.0167798,0.0137774,0.0131766,0.0211166,0.0151886,0.0178412,0.0109605,0.014197,0.0134554,0.0204146,0.0139256,0.0154562,0.0127958,0.0155598,0.0141675,0.015624,0.0167684,0.015051,0.0179642,0.0117442,0.0132312,0.0134512,0.0184452,0.0161162,0.0158178,0.0140872,0.0126318,0.0148932,0.0194726,0.0203968,0.0155726,0.0146578,0.01213,0.0137618,0.0142146,0.0189418,0.016014,0.0153286,0.0144504,0.0132102,0.0144402,0.0178092,0.0145668,0.0169378,0.0183004,0.0136698,0.0134372,0.0190366,0.0131144,0.0170514,0.0148568,0.012785,0.0117698,0.0225596,0.0147935,0.016448,0.0167568,0.0117932,0.0149378,0.0191384,0.01588,0.0170193,0.0131872,0.0108034,0.012839,0.0099678,0.0182648,0.0165982,0.0186502,0.0147286,0.0124269,0.0120789,0.0180532,0.0156716,0.0164456,0.0126884,0.0127592,0.0121332,0.0200334,0.0149021,0.015396,0.0105282,0.0156662,0.0149316,0.0203972,0.0158706,0.0151344,0.0152064,0.0152016,0.01629,0.0186188,0.016196,0.0163356,0.0136574,0.0127742,0.0119938,0.018303
0.0152762,0.018281,0.0191123,0.0128866,0.0123316,0.0188576,0.0152476,0.0192618,0.0188576,0.0133622,0.0158318,0.0224168,0.0159848,0.015703,0.0175891,0.0143004,0.016421,0.0213652,0.0155428,0.0184568,0.0131648,0.0120897,0.015723,0.0224414,0.016405,0.0178528,0.0159816,0.0135816,0.0109205,0.0153018,0.0215882,0.0141366,0.0174768,0.0193638,0.012675,0.0145834,0.0180968,0.0142154,0.0176458,0.0171014,0.0133642,0.0162649,0.0214724,0.015752,0.0156494,0.0148986,0.0158666,0.0132362,0.0182125,0.0152292,0.0170182,0.014394,0.0141432,0.0146774,0.020397,0.0148292,0.0179569,0.016941,0.0133138,0.015022,0.0205732,0.0152499,0.0196618,0.0195054,0.0141178,0.0168352,0.019888,0.0156155,0.019846,0.015196,0.0139942,0.0138552,0.0217912,0.0143394,0.0164576,0.018019,0.0138922,0.0191574,0.024502,0.0154548,0.017007,0.012423,0.0127724,0.0146418,0.0239005,0.0152002,0.0156808,0.0158848,0.0146388,0.0161852,0.0238636,0.0148648,0.0181562,0.0138169,0.0141018,0.0154188,0.0214546,0.0143376,0.0160638,0.0157464,0.017707,0.0137893,0.016476,0.0187716,0.0155494,0.0186806,0.0130986,0.012784,0.0137098,0.0217832,0.0178128,0.0167294,0.0178878,0.0127402,0.0153702,0.0218328,0.0226964,0.0158086,0.015116,0.0157834,0.0128986,0.014738,0.02406,0.016052,0.0164482,0.016231,0.0126548,0.0149492,0.019301,0.0149912,0.01711,0.018678,0.0141986,0.0141622,0.0212292,0.0139206,0.0179682,0.0151104,0.0139668,0.0134854,0.0241434,0.0146289,0.0175792,0.0177284,0.0119308,0.0174426,0.0210263,0.015789,0.0182488,0.0153754,0.0111992,0.0154102,0.0109094,0.0194036,0.0163414,0.0181608,0.0144704,0.0141121,0.0128779,0.0208222,0.0151504,0.0166594,0.0140334,0.0135688,0.0142934,0.0231066,0.0153453,0.0176374,0.0131974,0.0163118,0.0168946,0.0210996,0.016401,0.0162258,0.0155388,0.015769,0.0168256,0.020372,0.0167216,0.0178116,0.0160126,0.0134802,0.0126402,0.021552
0.0152148,0.0186592,0.021123,0.012896,0.0122728,0.0230396,0.0156666,0.0200756,0.0203332,0.0129228,0.0167142,0.0245352,0.0156902,0.0145672,0.0191932,0.0155834,0.017236,0.0240354,0.0165058,0.0185952,0.013533,0.012411,0.0169224,0.026001,0.0168046,0.0182124,0.017024,0.0140632,0.0132095,0.0157592,0.0239294,0.0133595,0.018339,0.0208644,0.0135068,0.0165584,0.019335,0.0146646,0.0184276,0.0202618,0.0149352,0.0174395,0.0237506,0.0152136,0.0159854,0.016441,0.0156201,0.013675,0.0205179,0.0152112,0.0176202,0.015049,0.0149984,0.016195,0.025074,0.0146996,0.0183791,0.017381,0.0136998,0.016245,0.0234866,0.0148979,0.0209972,0.0203984,0.0148458,0.0172866,0.0232804,0.0154211,0.0211866,0.0169776,0.0137462,0.0136806,0.0229096,0.014156,0.0174808,0.0196584,0.0140704,0.0209846,0.0285044,0.0147494,0.0189372,0.0144752,0.0129635,0.0139122,0.0265695,0.014986,0.0163832,0.0161226,0.0141937,0.01632,0.0250578,0.0143292,0.0189426,0.0155039,0.0144022,0.0153332,0.0229882,0.0142874,0.01658,0.0163576,0.0179274,0.0139289,0.016824,0.0211844,0.0153858,0.0185284,0.014671,0.0133652,0.0156484,0.0251574,0.0182604,0.0172452,0.0196284,0.0131134,0.016025,0.024022,0.0233342,0.0151176,0.0161038,0.0164094,0.0130548,0.0152806,0.027008,0.0150318,0.0162552,0.0192612,0.0129312,0.0166852,0.0196244,0.014861,0.0168916,0.0203246,0.0151646,0.0139422,0.0239194,0.015025,0.0188432,0.0166472,0.013625,0.0158248,0.0248136,0.0152117,0.0190016,0.0196624,0.0118454,0.0188562,0.0235489,0.0160038,0.0188406,0.015892,0.0118436,0.0177474,0.0116968,0.0218712,0.0173062,0.0185952,0.0180368,0.0133501,0.0140126,0.0250768,0.0155672,0.0170092,0.0150146,0.0135924,0.0152828,0.026677,0.0149459,0.0174152,0.0153684,0.016199,0.019972,0.0234352,0.0162428,0.0163486,0.0159016,0.0158228,0.0181204,0.023092,0.0164372,0.0199726,0.018456,0.0131768,0.0142658,0.0236566
0.0149512,0.019574,0.021446,0.0122442,0.014496,0.0266262,0.0155208,0.0205204,0.0218934,0.0129756,0.0178816,0.0287628,0.0158532,0.01521,0.019442,0.0157294,0.018761,0.0242582,0.016972,0.0182036,0.013753,0.012084,0.0189318,0.0287456,0.0161046,0.0176814,0.0187958,0.0134468,0.0135431,0.0168156,0.0258994,0.0138485,0.017665,0.020969,0.0133318,0.0178226,0.0215546,0.0142684,0.0182958,0.0213846,0.0151754,0.0202937,0.0261654,0.0164722,0.0170016,0.0179776,0.0147545,0.0144028,0.0227265,0.0162334,0.01917,0.0173976,0.0151714,0.016587,0.0276754,0.014335,0.0198377,0.0180046,0.0144264,0.01702,0.0257164,0.0159199,0.0219912,0.0207072,0.0147654,0.0177624,0.026824,0.0158325,0.021302,0.0198696,0.0145726,0.0159508,0.0251104,0.013955,0.018743,0.0203314,0.0152662,0.0210644,0.031226,0.0145722,0.017571,0.0167738,0.0128785,0.0142803,0.0289432,0.0151206,0.0168862,0.016361,0.0141249,0.0162698,0.0291986,0.0138294,0.0201868,0.0179317,0.0133168,0.0155074,0.0253448,0.0150958,0.0171604,0.017744,0.0208498,0.0139597,0.0178688,0.0251372,0.0153772,0.0191102,0.0160846,0.0143538,0.0173844,0.0292286,0.0178352,0.0173793,0.0201652,0.013162,0.0170896,0.0253844,0.0253604,0.0151308,0.017338,0.0186648,0.0133304,0.016024,0.0304474,0.014874,0.0165746,0.020308,0.0126604,0.0170744,0.0197532,0.0149294,0.0172678,0.0216528,0.0141432,0.0132412,0.025088,0.0143336,0.0190308,0.0181428,0.0129256,0.0172056,0.0271122,0.0155082,0.0192992,0.0218218,0.011366,0.0193888,0.0265697,0.0160266,0.0196756,0.0195955,0.0119816,0.0182168,0.0123728,0.0232836,0.016549,0.0191168,0.0189643,0.0138727,0.0156958,0.0294766,0.0150714,0.0178806,0.0166168,0.0144296,0.0165472,0.0290808,0.0152215,0.0176474,0.0166754,0.01658,0.0206654,0.0225884,0.0161953,0.0175168,0.0169664,0.0158746,0.020132,0.0264338,0.0155496,0.0205508,0.0199388,0.0130322,0.015658,0.0253638
0.0158666,0.0204478,0.0229888,0.012436,0.0147314,0.0283324,0.0155632,0.0220828,0.0232456,0.0131888,0.0183778,0.032422,0.0163998,0.015337,0.021664,0.0163124,0.01904,0.0258838,0.0168492,0.0196364,0.0163888,0.0129584,0.0193806,0.0316064,0.0168294,0.0183674,0.0204422,0.0133688,0.0159146,0.0164798,0.0272346,0.0149258,0.0186891,0.0225378,0.0131986,0.0178612,0.0230034,0.0151198,0.0182246,0.023439,0.0149628,0.0222363,0.027695,0.0171858,0.018425,0.0199296,0.0153393,0.015426,0.0247595,0.0163686,0.0190356,0.0180732,0.0154658,0.0184168,0.0311704,0.0144976,0.020238,0.0205356,0.0143136,0.0164174,0.0262374,0.0145465,0.0228734,0.0223376,0.0150602,0.0192304,0.0277196,0.0159651,0.0221064,0.0216644,0.0144704,0.0164186,0.028623,0.0135658,0.0202764,0.0210878,0.0153066,0.0215892,0.0348704,0.0146108,0.0188444,0.0188998,0.0133243,0.0152711,0.032151,0.0154806,0.0183872,0.0177744,0.0140213,0.0175788,0.0303716,0.0138974,0.0198456,0.0198417,0.0140664,0.0156318,0.0280604,0.0152158,0.017225,0.0192698,0.0232578,0.0145929,0.0191764,0.0264586,0.014986,0.0203584,0.0163698,0.013665,0.0184166,0.0318742,0.018136,0.0183512,0.0213228,0.0150328,0.018975,0.0301646,0.0254028,0.0150736,0.0174494,0.0199102,0.014095,0.0175504,0.0337988,0.0158116,0.0167768,0.0219214,0.0122084,0.0174098,0.0233598,0.0159144,0.018033,0.0214544,0.0142832,0.0137932,0.026279,0.0134512,0.0198678,0.0210981,0.0134352,0.018206,0.0277836,0.0157114,0.0199244,0.02319,0.0117206,0.02008,0.0297205,0.0161462,0.0201078,0.0200253,0.0125658,0.019467,0.0125404,0.0254988,0.0162214,0.0185214,0.0211415,0.0151603,0.017599,0.0318954,0.0148078,0.017561,0.0176762,0.015088,0.0170002,0.0329924,0.0156434,0.0176856,0.018247,0.0165856,0.0208346,0.024163,0.0162373,0.0172192,0.0169402,0.0153606,0.0237194,0.0270982,0.015089,0.0210274,0.0214246,0.0133308,0.01658,0.0265998
0.015761,0.0202758,0.0241538,0.012419,0.015362,0.0338278,0.0156962,0.0223478,0.0237234,0.012716,0.0205678,0.0359648,0.0156272,0.0167068,0.0215746,0.0158592,0.0182094,0.0283656,0.016935,0.0208146,0.0183196,0.013043,0.0207164,0.03567,0.0164088,0.0177416,0.0206766,0.0141192,0.0170554,0.0171922,0.0272872,0.0153786,0.0192746,0.0245634,0.0136008,0.0177684,0.0246268,0.0155782,0.0179836,0.0247012,0.0139408,0.0241879,0.0314496,0.0173908,0.0177248,0.0216054,0.0154461,0.0168298,0.024992,0.0164426,0.0200902,0.0206826,0.016195,0.0193167,0.0340836,0.015097,0.020481,0.022167,0.0151784,0.0166818,0.0281754,0.0150829,0.0237636,0.0243966,0.0165606,0.020803,0.029589,0.0166578,0.0229868,0.0220904,0.0144218,0.0168014,0.030145,0.0131402,0.0219298,0.0218348,0.0157112,0.0238366,0.0389802,0.0149842,0.0198308,0.0195206,0.0144536,0.0148196,0.0339196,0.0154234,0.0186308,0.0191072,0.0136065,0.0186138,0.0333852,0.0134612,0.0212649,0.0196762,0.0138478,0.0178532,0.0297426,0.0151178,0.0179533,0.0196628,0.0241952,0.0147236,0.0203628,0.0284894,0.0149514,0.020954,0.0187336,0.013568,0.0188918,0.0329676,0.01766,0.018676,0.0231016,0.0163708,0.0201756,0.032535,0.0276436,0.0155712,0.0179894,0.020096,0.0151626,0.0185396,0.0366606,0.0147732,0.0176552,0.0252918,0.0118902,0.0188194,0.0247714,0.0161582,0.0186242,0.0241106,0.0154196,0.0140612,0.027923,0.014142,0.0206274,0.0199594,0.01323,0.0196156,0.0306934,0.016689,0.0209896,0.0238408,0.0123018,0.0219204,0.0326104,0.0166734,0.0205772,0.021043,0.0127066,0.0204098,0.0133852,0.0282668,0.0168124,0.0181176,0.0231659,0.0148804,0.0194422,0.0338642,0.0152072,0.0175862,0.0185945,0.0152528,0.018762,0.0338434,0.0160404,0.0188468,0.019099,0.0169276,0.0228968,0.0278022,0.0153009,0.0187402,0.0168628,0.0150078,0.0255772,0.0297634,0.0150462,0.0228784,0.0220846,0.013883,0.0172156,0.0288508
0.0161744,0.0212972,0.0243412,0.0118728,0.017238,0.0360084,0.01569,0.021968,0.0241434,0.0131104,0.0211926,0.0379236,0.0159638,0.0180432,0.0232812,0.0158052,0.0189264,0.0296532,0.0167106,0.0210514,0.0202956,0.0130508,0.0224604,0.0373078,0.0165166,0.0192548,0.0209006,0.014,0.018779,0.0178452,0.027461,0.0151182,0.0209554,0.0252658,0.0140694,0.0187756,0.0282426,0.01507,0.019885,0.0266048,0.0148422,0.0248133,0.0351242,0.0177666,0.0184778,0.02247,0.016688,0.0175662,0.0238748,0.016679,0.02057,0.0221186,0.0156554,0.0194751,0.038305,0.015029,0.0205466,0.023019,0.0142782,0.0178772,0.0297458,0.0159597,0.024204,0.025658,0.0167524,0.0221126,0.032155,0.0164324,0.0231548,0.0248244,0.0151298,0.0176744,0.0335638,0.0142254,0.0223184,0.0242398,0.0155724,0.0242808,0.0411716,0.0160022,0.019494,0.0212888,0.0134592,0.0174346,0.0354738,0.0148908,0.0197226,0.0203858,0.0139109,0.0203672,0.0338538,0.0136048,0.0212772,0.0209788,0.0144552,0.0192624,0.0312492,0.0157266,0.0203215,0.0196112,0.027003,0.0149184,0.0204596,0.0304706,0.0159042,0.0209924,0.0202098,0.0154984,0.0200348,0.0369932,0.0177462,0.0191252,0.0244194,0.0157596,0.0201052,0.035635,0.02887,0.015349,0.0182574,0.0212174,0.0152002,0.0190074,0.03956,0.0142904,0.0182836,0.0261802,0.011604,0.0205372,0.02666,0.0166714,0.0192002,0.0251586,0.0155744,0.0161394,0.0295282,0.0146342,0.0211192,0.02214,0.0125622,0.0214198,0.032081,0.0174062,0.0217384,0.0255044,0.0121028,0.0235592,0.0349804,0.0169982,0.0197486,0.0239272,0.0133598,0.0215738,0.0144016,0.0289584,0.016341,0.02031,0.0255022,0.0151222,0.0205408,0.0396662,0.014928,0.0180502,0.0223663,0.0152768,0.0196054,0.036997,0.0166084,0.0198536,0.0196512,0.0168494,0.0224394,0.0291858,0.0162614,0.018939,0.017041,0.0160452,0.027819,0.0328866,0.015452,0.024312,0.0236726,0.014801,0.0195514,0.0339076
0.0163996,0.0232314,0.0247387,0.0122678,0.0176088,0.0385196,0.015707,0.023238,0.024671,0.0128188,0.0223628,0.0402292,0.016883,0.0180308,0.0236788,0.0153854,0.0193964,0.0315259,0.0161256,0.021583,0.0215685,0.0135274,0.0246904,0.040934,0.0168482,0.020941,0.0216504,0.0146794,0.0189064,0.017707,0.0284384,0.0154924,0.0208738,0.0273238,0.0134996,0.0204818,0.0302282,0.0148078,0.0207024,0.0282482,0.0157438,0.0244623,0.040231,0.0162774,0.0181367,0.0228244,0.0173152,0.017876,0.0236666,0.0166744,0.0211082,0.0254926,0.015542,0.0214258,0.0403526,0.0148588,0.0218602,0.0242776,0.014545,0.01831,0.0325478,0.0157729,0.0248474,0.0290902,0.0164706,0.0233624,0.0345658,0.0168292,0.0237122,0.0268224,0.0143568,0.019078,0.0359796,0.0144932,0.0238974,0.0248656,0.0146312,0.024781,0.0441616,0.015917,0.0207166,0.0228048,0.0134932,0.0179086,0.0383852,0.0157618,0.0196942,0.0217326,0.013958,0.0212248,0.033918,0.0138178,0.0226028,0.0219355,0.0149836,0.0197222,0.0325218,0.0157942,0.0206721,0.0192856,0.0270522,0.0151448,0.0215788,0.0334002,0.0160542,0.0207728,0.0210282,0.016152,0.021075,0.0394192,0.0171494,0.0209746,0.0267162,0.0160904,0.0215624,0.0403066,0.0316126,0.0155036,0.0177602,0.0226136,0.0161276,0.0199517,0.0450484,0.014139,0.0192086,0.0268516,0.0109008,0.0219462,0.0300608,0.0165146,0.0192152,0.0277514,0.0159158,0.0172156,0.0320034,0.0151898,0.0220254,0.0245248,0.0136144,0.0243078,0.0368956,0.0168458,0.0221114,0.0285138,0.0118474,0.0239702,0.0362128,0.0160474,0.0210574,0.0242406,0.0131858,0.0231802,0.0143974,0.031277,0.016291,0.0220204,0.0273918,0.0150634,0.0211544,0.0468656,0.0143508,0.0197804,0.0226455,0.0144194,0.019532,0.0387934,0.0164978,0.0200404,0.0207616,0.0175042,0.0224208,0.0326184,0.0164718,0.0194152,0.0196772,0.0156228,0.0299064,0.0356224,0.0161108,0.024287,0.024027,0.0155446,0.0208308,0.035147
0.0163136,0.0246046,0.027019,0.0118596,0.0180422,0.0426202,0.0159106,0.023664,0.026542,0.0131794,0.023913,0.045718,0.017013,0.017801,0.0266366,0.01541,0.0206136,0.0340623,0.0156962,0.022176,0.0255479,0.013638,0.0248034,0.0456038,0.0175922,0.0225406,0.0233166,0.013708,0.0191858,0.0182116,0.0315444,0.0155982,0.0230098,0.0288986,0.0132098,0.0221668,0.031028,0.0145284,0.0207294,0.0293224,0.0151744,0.02489,0.0436456,0.016754,0.0193851,0.0246474,0.0180212,0.0192132,0.0269036,0.0170722,0.0212508,0.0266786,0.0170838,0.0240878,0.0427224,0.0146412,0.0236506,0.0255322,0.0141382,0.0192474,0.0353204,0.0157913,0.0243252,0.0289456,0.0169136,0.023081,0.0367468,0.015978,0.0243198,0.0280112,0.0151508,0.021019,0.037982,0.0150046,0.0245176,0.0257062,0.0141024,0.0269522,0.0479478,0.0161228,0.0220376,0.0228812,0.0131668,0.018375,0.0436018,0.0162164,0.0208514,0.0238294,0.0148578,0.0221094,0.0347378,0.0135982,0.023171,0.0223783,0.0151034,0.021697,0.0345196,0.0158804,0.0224763,0.0195976,0.0313966,0.015722,0.0238032,0.0377204,0.0159572,0.0225508,0.0224754,0.0164708,0.0220762,0.0437774,0.0176988,0.0218302,0.029348,0.015072,0.0222412,0.0432142,0.033869,0.0148692,0.0176606,0.0228972,0.0165214,0.0221145,0.051185,0.0143142,0.0204202,0.0282604,0.0110082,0.0237196,0.0321554,0.0163572,0.020388,0.0295628,0.0165486,0.018683,0.0343756,0.015137,0.0223376,0.0258942,0.0139708,0.0254544,0.0405452,0.0166882,0.0225344,0.0301236,0.0129674,0.026955,0.0398922,0.0153808,0.022517,0.0239144,0.0139808,0.0254626,0.015216,0.0331708,0.017245,0.022665,0.0295604,0.0153802,0.02298,0.0536664,0.0146874,0.0191536,0.0232193,0.0143638,0.0216048,0.0422968,0.0172572,0.0199788,0.0215504,0.0172284,0.024088,0.0344058,0.0168878,0.0198088,0.0207822,0.015381,0.0313856,0.0375226,0.0155214,0.0258838,0.026049,0.016699,0.0221148,0.0374734
0.015818,0.0238104,0.0283764,0.0123262,0.0184436,0.047934,0.0158184,0.0226126,0.0290036,0.0122994,0.0252744,0.0511486,0.0175876,0.0193696,0.028264,0.0163708,0.0231086,0.037788,0.0155168,0.0235648,0.0264365,0.0138802,0.0267106,0.048669,0.0173936,0.0227788,0.0243056,0.0144156,0.0204992,0.0198914,0.0320912,0.0156988,0.02297,0.0307854,0.0142786,0.022985,0.0319808,0.014419,0.021794,0.0306848,0.0159062,0.0272602,0.0471424,0.0168228,0.0192316,0.026822,0.0184146,0.0208344,0.0302706,0.017683,0.022999,0.0290078,0.0182204,0.0278072,0.0474126,0.0144006,0.0245,0.0262062,0.0135656,0.0205554,0.0365804,0.015488,0.0258008,0.0291164,0.0170696,0.0249612,0.0407206,0.0156286,0.0229488,0.0278798,0.0152172,0.0207404,0.0395874,0.0149046,0.0258526,0.0286234,0.0143862,0.0270712,0.0512484,0.0157458,0.020918,0.0243012,0.0133594,0.0189308,0.0458496,0.015533,0.0214898,0.0236502,0.0140324,0.023331,0.0392178,0.0139444,0.0229776,0.0216698,0.0157354,0.023055,0.0379148,0.0159876,0.0233945,0.02227,0.033677,0.0161348,0.0238274,0.0395222,0.0158762,0.0226094,0.022368,0.0162368,0.0256272,0.0466894,0.016696,0.0232306,0.0308574,0.0154426,0.023196,0.0474839,0.034497,0.0149568,0.0186092,0.0237052,0.017354,0.0228371,0.055625,0.0151406,0.0208704,0.029202,0.011719,0.0251696,0.0346722,0.0163208,0.0202482,0.0316594,0.0165546,0.0195234,0.0375616,0.0158214,0.0229204,0.0259226,0.0141218,0.028198,0.0421898,0.0166532,0.023882,0.033986,0.0137676,0.0283992,0.0410768,0.0155262,0.0218052,0.025262,0.0146614,0.027394,0.0169818,0.0357382,0.017321,0.0233988,0.033366,0.0155824,0.0238824,0.0620002,0.0148044,0.0203762,0.0252247,0.0153858,0.0237786,0.0447628,0.01671,0.021376,0.0231252,0.0164862,0.026031,0.0383528,0.0170224,0.019774,0.0225698,0.0171638,0.0329974,0.04024,0.0146458,0.0279098,0.0271946,0.0165542,0.0227188,0.0397576
