Rule_Ant,Rule_Pos,Rule_Index,Class_Label,Support,Confidence,Significance,Wracc
2224,"[0.93972187103383709, 1.01756841563191]",0,BCR, , , , 
1539,"[4.2262702093206093, 4.8369947473797303]",0,BCR,0.8,0.3529,42.3342,0.1604
11251,"[2.2945453606967701, 2.7330793839696002]",0,E2A,0.8519,0.6765,84.0294,0.3113
12141,"[0.77907022457909092, 1.1155447101861298]",0,Hyperdip, , , , 
9914,"[1.16925953426425, 1.40840300611098]",0,Hyperdip,0.8438,0.6429,98.573,0.5213
4972,"[1.2928730091431, 1.5157944982221601]",0,MLL, , , , 
4742,"[0.58744247945445793, 0.91334594428280902]",0,MLL,1.0,0.4255,66.5312,0.2614
11760,"[0.81414049707720693, 1.2801686135415902]",0,T, , , , 
7672,"[1.01879503800826, 1.31037316493067]",0,T,0.9535,0.6721,111.104,0.4907
7967,"[1.0262502412671501, 1.31364392384572]",0,TEL, , , , 
6554,"[0.90965850013065086, 1.5497064626296999]",0,TEL,0.962,0.7379,127.6778,0.6966
